,y,m,d,lgrpf,lgm3,lgm1
0.553913,1985,8,16,-0.000464569,0,0
0.7128691,1985,8,19,-0.000620199,0,0
-2.5919075,1985,8,7,-0.011317761,0,0
-0.0879892,1985,8,2,0.000636562,0,0
0.4381743,1985,8,5,0.000317932,0,0
-0.5331318,1985,8,6,-0.00111378,0,0
0.9004726,1985,8,13,0.005540555,0,0
-0.0665586,1985,8,14,0.001883463,0,0
-4.9324611,1985,3,11,-0.002513103,0,0
-0.3822446,1985,3,12,0.005478648,0,0
0.2701685,1985,3,13,0.002172253,0,0
6.1169237,1985,8,20,0.000464073,0,0
0.2268538,1985,8,21,-0.00325897,0,0
-0.0517479,1985,8,22,0.001399697,0,0
-2.4975901,1985,3,19,0.012700021,0,0
0.9828387,1985,3,20,0.002705893,0,0
-0.2015291,1985,8,8,-0.025776681,0,0
-0.1146163,1985,8,9,0.000953097,0,0
0.6699107,1985,8,12,0.003319464,0,0
-0.3872885,1985,3,26,0.013488009,0,0
0.8830262,1985,3,27,-0.00444962,0,0
-0.5489518,1985,3,28,0.001385802,0,0
0.3975263,1985,3,29,0.000614495,0,0
-1.0885478,1985,4,1,0.006551488,0,0
-0.3190112,1985,4,2,0.001961382,0,0
0.3392943,1985,4,3,-0.000451841,0,0
-0.6126513,1985,4,4,0.001203866,0,0
0,1985,4,8,0.002845878,0,0
0.8620334,1985,4,9,-0.000597585,0,0
-0.6227521,1985,3,21,-0.010746291,0,0
-0.4110073,1985,3,22,-0.001535154,0,0
-0.1240645,1985,3,25,-0.002312953,0,0
2.6312698,1985,4,15,0.015937808,0,0
-0.4899952,1985,4,16,-0.001492935,0,0
-0.4159119,1985,4,17,-0.001348044,0,0
0.3172459,1985,4,18,0.00104884,0,0
-0.3637052,1985,4,19,0.00431841,0,0
0.0994948,1985,4,22,0.007200446,0,0
-0.1460038,1985,4,23,-0.022123015,0,0
-0.6226791,1985,4,24,-0.006022313,0,0
0.0673847,1985,4,25,-0.000933967,0,0
0.1344566,1985,4,26,0.001089433,0,0
0.500537,1985,4,10,0.019750967,0,0
0.6585334,1985,4,11,-0.004478842,0,0
-0.3082674,1985,4,12,-0.00391938,0,0
-2.2491236,1985,5,2,-0.020463054,0,0
-0.0693761,1985,5,3,-0.001112557,0,0
0,1985,5,6,-0.001594328,0,0
0.1040227,1985,5,7,0.001912493,0,0
-0.0901386,1985,5,8,-0.002232062,0,0
0.3112244,1985,5,9,0.006504623,0,0
-3.492868,1985,3,14,0.009500814,0,0
0.2902999,1985,3,15,0.001998173,0,0
0.9030538,1985,3,18,0.008052568,0,0
3.3412991,1985,5,15,-0.016257271,0,0
-0.3580577,1985,5,16,0.002182389,0,0
0.3244045,1985,5,17,-0.00202614,0,0
0.1075986,1985,5,20,0.001559407,0,0
-1.1433044,1985,5,21,0.001553828,0,0
0.1857874,1985,5,22,-0.01418874,0,0
-0.1168845,1985,5,23,0.007939791,0,0
-0.0964946,1985,5,24,0.001570687,0,0
-0.4787383,1985,5,28,-0.002043003,0,0
0.1045234,1985,5,29,0.001101273,0,0
0.3604124,1985,5,30,0.004377375,0,0
-0.082907,1985,5,31,-0.001246183,0,0
0.5634021,1985,6,3,-0.005652503,0,0
-0.3357875,1985,6,4,-0.000158069,0,0
-0.1999613,1985,6,5,-0.007173315,0,0
0.0828543,1985,6,6,0.000963315,0,0
-0.0690343,1985,6,7,-0.002573604,0,0
-0.3189787,1985,6,10,-0.001778242,0,0
0.415596,1985,6,11,0.002261956,0,0
-0.0689904,1985,6,12,0.000965815,0,0
-0.1036915,1985,6,13,0.006384451,0,0
0.6184678,1985,6,14,-0.0019055,0,0
0.0886107,1985,6,17,-0.000955894,0,0
0.6555258,1985,6,18,-0.00015952,0,0
0.2207772,1985,6,19,0.001274526,0,0
-0.9853879,1985,6,20,-0.001593743,0,0
-0.6395395,1985,6,21,-0.004493848,0,0
0.1659462,1985,6,24,-0.000484253,0,0
1.0701983,1985,4,29,0.012261374,0,0
-0.1551415,1985,4,30,-0.000471291,0,0
-1.2128283,1985,5,1,-0.004741253,0,0
0.7235538,1985,6,28,-0.007371965,0,0
-0.5294244,1985,7,1,-0.003081841,0,0
-0.788823,1985,7,2,0.004211766,0,0
0.2948664,1985,7,3,-0.000483894,0,0
-0.1542041,1985,7,8,0.001289187,0,0
0.7793989,1985,7,9,0.007339464,0,0
-0.0483048,1985,5,10,-0.001108905,0,0
0.8884383,1985,5,13,0.003318257,0,0
0.7378153,1985,5,14,0.001100475,0,0
-0.636463,1985,7,16,-0.004577378,0,0
0.5165841,1985,7,17,0.001741931,0,0
-0.7534418,1985,7,18,0.000158011,0,0
-0.1495459,1985,7,19,-0.001424177,0,0
-0.2252888,1985,7,22,0.004729206,0,0
0.7128088,1985,7,23,-0.008550003,0,0
-0.644416,1985,7,24,0.002868745,0,0
-0.0478637,1985,7,25,-0.00047681,0,0
-0.0616166,1985,7,26,-0.000159053,0,0
1.289243,1985,7,29,0.000953446,0,0
-0.166588,1985,7,30,-0.000317583,0,0
0.2993999,1985,7,31,-0.003508825,0,0
-0.722058,1985,8,1,0.001119522,0,0
-2.9063669,1985,2,4,-0.010835688,0,0
0.1151784,1985,2,5,0.004237053,0,0
0.1148738,1985,2,6,0.004677683,0,0
-0.1724248,1985,2,7,0.002240286,0,0
-0.2671701,1985,2,8,0.006023159,0,0
0.0506719,1985,2,11,0.007026309,0,0
0.3387031,1985,2,12,-0.010661916,0,0
0.1003818,1985,2,13,0.007241033,0,0
0.1358624,1985,2,14,-0.00031233,0,0
-0.0214237,1985,2,15,0,0,0
-0.200466,1985,2,19,-0.00804126,0,0
0.043035,1985,2,20,-0.001754083,0,0
-0.439522,1985,2,21,-0.000639609,0,0
-0.2105234,1985,2,22,-0.006123734,0,0
-2.1098345,1985,2,25,-0.005224658,0,0
0.2285766,1985,2,26,0.005711263,0,0
6.8864064,1985,8,23,0.018409099,0,0
0,1985,8,26,0.002324508,0,0
0.1488974,1985,8,27,-0.000309216,0,0
0.6287724,1985,8,28,0.000309216,0,0
-0.49971,1985,8,29,-0.002479918,0,0
-0.4859743,1985,8,30,0.002170702,0,0
-0.6631581,1985,9,3,0.003082302,0,0
-0.2920977,1985,9,4,-0.000153597,0,0
-0.0333176,1985,9,5,-0.004633342,0,0
-1.1277502,1985,9,6,-0.003429479,0,0
0.2659998,1985,9,9,-0.001724949,0,0
0.3116635,1985,9,10,0.003910476,0,0
-0.1216891,1985,9,11,-0.000155745,0,0
-0.2035759,1985,9,12,0.00248524,0,0
0.277982,1985,9,13,-0.0004649,0,0
-0.2711807,1985,9,16,-0.001397695,0,0
-0.2318425,1985,9,17,0.00248169,0,0
-0.184996,1985,9,18,0.000309216,0,0
6.87E-03,1985,9,19,0.001542788,0,0
0.3895657,1985,9,20,0.007935327,0,0
1.1150146,1985,9,23,-0.01025157,0,0
0.0596422,1985,9,24,0.002778013,0,0
0.0793957,1985,9,25,0.002913195,0,0
0.099041,1985,9,26,0.007273769,0,0
-0.0858225,1985,9,27,0.000450591,0,0
-0.3783135,1985,9,30,0.002245969,0,0
-0.4691498,1985,10,1,-0.000747366,0,0
0.3623615,1985,10,2,0.003427286,0,0
-6.68E-03,1985,10,3,0.000741497,0,0
0.4124132,1985,10,4,-0.004617821,0,0
-0.2989419,1985,10,7,0.002389522,0,0
0.0799193,1985,10,8,0.001635203,0,0
0.0266071,1985,10,9,-0.004324341,0,0
-0.1398695,1985,10,10,-0.004822195,0,0
0.0133403,1985,10,11,0.00105944,0,0
0.1398266,1985,10,14,0.004959984,0,0
0.046509,1985,10,15,0.004312496,0,0
-0.4472141,1985,10,16,0.000147946,0,0
0.2475382,1985,10,17,0.002801434,0,0
0.0999527,1985,10,18,-0.000441132,0,0
-0.0133137,1985,10,21,0.00657039,0,0
0.2125318,1985,10,22,0.004469128,0,0
-0.245834,1985,10,23,-0.013843808,0,0
0.0399596,1985,10,24,0.003832902,0,0
-0.1066408,1985,10,25,0.000879733,0,0
0.1465637,1985,10,28,0.007550612,0,0
-0.0266112,1985,10,29,0.00071915,0,0
-0.0133117,1985,10,30,-0.001439492,0,0
-0.1466987,1985,10,31,0.003732802,0,0
-0.2142684,1985,11,1,0.000142931,0,0
0.2476526,1985,11,4,-0.002867587,0,0
-0.1002296,1985,11,5,-0.003321304,0,0
-0.026767,1985,11,6,0.005473767,0,0
-0.1878323,1985,11,7,0.000715124,0,0
-0.1414093,1985,11,8,0.000856597,0,0
0.1548529,1985,11,11,0.003409591,0,0
0,1985,11,12,0.001835746,0,0
0.1877743,1985,11,13,0.003089078,0,0
0.1069362,1985,11,14,0.004315833,0,0
0.0133485,1985,11,15,-0.00529634,0,0
-0.2543264,1985,11,18,-0.000561285,0,0
0.1139617,1985,11,19,0.005303148,0,0
0.173718,1985,11,20,0.005650111,0,0
0.0199997,1985,11,21,-0.012500544,0,0
0.0932106,1985,11,22,0.001266371,0,0
0.4893883,1985,11,25,0.001402761,0,0
0.1378818,1985,11,26,-0.003797903,0,0
-0.4083478,1985,11,27,-0.014216893,0,0
-0.8891431,1985,12,2,0,0,0
0.1483386,1985,12,3,-0.01019136,0,0
0.2148647,1985,12,4,-0.006322596,0,0
-0.1879484,1985,12,5,0.003624175,0,0
-0.0673221,1985,12,6,-0.002110425,0,0
-0.6653383,1985,12,9,-0.018996173,0,0
-0.054766,1985,12,10,-0.03757334,0,0
-0.2059899,1985,12,11,0.025893322,0,0
0.2744366,1985,12,12,0.007555934,0,0
0.034183,1985,12,13,0.001908291,0,0
0.1160212,1985,12,16,-0.001589659,0,0
0.3462155,1985,12,17,-0.013752325,0,0
