,xau,Predictions
5500,279.25,278.57758
5501,280.05,278.07602
5502,280.3,277.77994
5503,284.15,277.62363
5504,284.25,278.0768
5505,282.75,278.6601
5506,285.75,278.98306
5507,287.3,279.5987
5508,287.3,280.42593
5509,287.3,281.19363
5510,287.3,281.82645
5511,290.9,282.32034
5512,290.25,283.20712
5513,290.25,283.9871
5514,0.0,284.61923
5515,290.25,245.12863
5516,281.5,239.06503
5517,280.45,242.94331
5518,279.4,249.57053
5519,282.1,255.90332
5520,281.6,261.47504
5521,282.25,265.81177
5522,282.25,269.14618
5523,282.1,271.63666
5524,283.3,273.46097
5525,285.35,274.97852
5526,285.8,276.47305
5527,287.65,277.81165
5528,288.1,279.17432
5529,287.75,280.40952
5530,287.2,281.37485
5531,288.0,282.0357
5532,285.9,282.6176
5533,285.55,282.7895
5534,286.75,282.76236
5535,283.3,282.8482
5536,283.0,282.46704
5537,285.6,281.9614
5538,285.05,281.86087
5539,293.65,281.82205
5540,312.7,283.03125
5541,296.25,287.15024
5542,308.6,289.18683
5543,309.0,292.0478
5544,311.5,294.7482
5545,308.35,297.34744
5546,304.25,299.05984
5547,302.5,299.65018
5548,304.75,299.5558
5549,303.55,299.592
5550,305.25,299.49643
5551,302.25,299.631
5552,302.0,299.3885
5553,298.75,299.038
5554,294.0,298.24017
5555,292.5,296.75006
5556,293.65,295.0632
5557,292.9,293.73767
5558,289.9,292.62042
5559,288.5,291.31458
5560,288.8,289.9526
5561,289.75,288.82123
5562,291.2,288.06653
5563,290.5,287.74832
5564,290.25,287.51187
5565,290.65,287.29956
5566,288.75,287.17984
5567,289.15,286.8333
5568,287.35,286.52643
5569,283.9,286.0205
5570,285.75,285.04272
5571,285.15,284.33374
5572,287.8,283.7295
5573,284.75,283.63113
5574,284.85,283.27112
5575,284.15,282.90332
5576,280.65,282.48627
5577,279.75,281.6215
5578,275.75,280.625
5579,276.75,279.17325
5580,0.0,277.94803
5581,277.5,239.08054
5582,276.85,232.30338
5583,281.3,236.33363
5584,279.35,244.1185
5585,280.15,251.63443
5586,282.25,257.9489
5587,282.5,263.13513
5588,280.4,267.16095
5589,281.4,269.89337
5590,282.0,271.9466
5591,281.75,273.5699
5592,281.1,274.79553
5593,281.35,275.63846
5594,279.85,276.28616
5595,279.85,276.57532
5596,279.85,276.7205
5597,279.5,276.80505
5598,276.2,276.81357
5599,276.0,276.3341
5600,275.05,275.75098
5601,275.05,275.08853
5602,275.45,274.50375
5603,275.6,274.08832
5604,280.0,273.80927
5605,280.75,274.2343
5606,277.9,274.91464
5607,276.3,275.1673
5608,277.6,275.01962
5609,276.75,274.94785
5610,276.65,274.78766
5611,275.05,274.61307
5612,276.0,274.2358
5613,273.1,273.9893
5614,272.8,273.41177
5615,273.15,272.78094
5616,274.0,272.2782
5617,274.05,272.01254
5618,273.7,271.86926
5619,273.35,271.7371
5620,271.3,271.57822
5621,271.3,271.14517
5622,273.15,270.6926
5623,272.25,270.56146
5624,272.5,270.42368
5625,281.6,270.34238
5626,283.25,271.5708
5627,288.4,273.24844
5628,284.1,275.5419
5629,285.75,277.06155
5630,284.4,278.34116
5631,284.6,279.15015
5632,291.5,279.71915
5633,287.15,281.10687
5634,287.4,281.9199
5635,290.1,282.47723
5636,285.9,283.25082
5637,286.2,283.37656
5638,286.05,283.33188
5639,287.65,283.218
5640,285.8,283.33002
5641,284.05,283.23367
5642,283.8,282.84302
5643,288.0,282.38513
5644,289.75,282.57098
5645,288.15,283.1743
5646,0.0,283.5896
5647,287.65,244.22849
5648,286.5,237.97624
5649,286.85,242.64972
5650,284.9,250.46338
5651,282.85,257.80557
5652,284.1,263.50647
5653,282.85,267.91788
5654,279.95,271.02597
5655,280.8,272.8261
5656,280.25,274.06647
5657,282.45,274.87683
5658,282.75,275.76093
5659,279.2,276.59247
5660,279.35,276.7953
5661,279.3,276.80585
5662,279.75,276.75238
5663,279.7,276.75696
5664,279.4,276.7758
5665,279.85,276.75613
5666,278.1,276.7912
5667,276.75,276.58905
5668,277.6,276.15326
5669,277.6,275.82944
5670,275.5,275.58768
5671,273.95,275.11258
5672,273.2,274.41968
5673,273.1,273.65787
5674,272.0,272.97614
5675,272.2,272.26895
5676,272.7,271.69113
5677,275.45,271.3112
5678,274.15,271.4373
5679,276.35,271.5166
5680,277.2,271.87958
5681,275.6,272.3901
5682,274.6,272.64175
5683,273.4,272.63272
5684,273.15,272.37274
5685,272.6,272.03967
5686,273.65,271.65863
5687,273.65,271.47147
5688,274.0,271.37476
5689,273.3,271.3725
5690,277.0,271.30145
5691,277.0,271.74072
5692,276.65,272.2687
5693,275.0,272.696
5694,274.15,272.79218
5695,272.7,272.64944
5696,272.75,272.24887
5697,272.55,271.83783
5698,274.65,271.45956
5699,272.5,271.44763
5700,273.1,271.24954
5701,272.6,271.11127
5702,273.0,270.9396
5703,271.85,270.84006
5704,271.4,270.61533
5705,269.5,270.3231
5706,273.95,269.78656
5707,272.85,269.88205
5708,274.85,270.0024
5709,276.15,270.39767
5710,276.4,270.99808
5711,273.65,271.6048
5712,0.0,271.732
5713,273.1,234.30518
5714,272.1,228.0325
5715,271.35,232.19853
5716,270.4,239.25679
5717,270.0,246.02277
5718,270.0,251.52934
5719,270.5,255.72513
5720,272.75,258.89362
5721,274.0,261.55414
5722,273.25,263.82626
5723,271.6,265.53754
5724,270.25,266.59653
5725,272.0,267.11554
5726,270.3,267.6466
5727,270.45,267.87283
5728,271.45,268.00345
5729,270.2,268.23068
5730,266.8,268.28204
5731,266.4,267.7969
5732,263.8,267.1638
5733,264.75,266.2146
5734,264.5,265.44702
5735,265.5,264.81693
5736,264.85,264.4673
5737,264.65,264.16595
5738,265.7,263.8963
5739,265.5,263.82114
5740,264.1,263.7866
5741,264.65,263.57248
5742,264.85,263.41013
5743,264.85,263.31406
5744,264.95,263.25333
5745,264.6,263.22702
5746,266.7,263.1663
5747,265.25,263.3981
5748,266.15,263.4818
5749,266.15,263.63437
5750,266.15,263.7832
5751,265.7,263.9086
5752,265.55,263.94455
5753,268.15,263.9264
5754,269.95,264.25848
5755,269.1,264.90112
5756,269.1,265.42496
5757,269.2,265.8323
5758,270.7,266.15277
5759,270.8,266.6068
5760,271.6,267.04697
5761,273.9,267.52954
5762,272.95,268.27484
5763,270.7,268.85443
5764,270.75,268.97928
5765,269.6,268.95013
5766,269.3,268.7146
5767,270.35,268.41122
5768,270.2,268.28238
5769,269.55,268.20807
5770,272.45,268.07306
5771,273.1,268.34726
5772,273.1,268.79605
5773,273.1,269.2316
5774,273.1,269.59467
5775,275.05,269.87735
5776,274.45,270.36456
5777,274.45,270.75525
5778,274.45,271.05786
5779,271.1,271.28613
5780,267.15,270.98505
5781,267.1,270.01245
5782,267.4,268.97382
5783,268.3,268.11594
5784,267.0,267.5761
5785,266.3,267.03848
5786,264.15,266.4875
5787,263.7,265.71313
5788,263.5,264.92328
5789,264.45,264.2187
5790,263.5,263.78067
5791,264.9,263.35907
5792,264.9,263.20306
5793,266.15,263.15103
5794,266.1,263.31366
5795,264.25,263.50912
5796,264.9,263.42508
5797,263.55,263.35654
5798,262.85,263.1122
5799,264.95,262.75403
5800,264.5,262.70935
5801,267.65,262.7068
5802,266.7,263.1616
5803,265.45,263.55542
5804,262.7,263.69666
5805,263.15,263.35043
5806,262.95,262.9672
5807,259.9,262.6017
5808,261.1,261.8742
5809,260.75,261.31573
5810,260.25,260.84558
5811,258.55,260.40756
5812,257.45,259.80972
5813,259.45,259.0996
5814,256.25,258.74023
5815,257.5,258.09778
5816,258.85,257.64136
5817,260.45,257.4974
5818,263.2,257.6962
5819,268.3,258.35504
5820,266.7,259.76813
5821,266.35,260.97552
5822,263.1,261.885
5823,262.5,262.10208
5824,261.85,261.9847
5825,260.65,261.6893
5826,263.65,261.22006
5827,269.8,261.19247
5828,272.5,262.16986
5829,269.3,263.69388
5830,263.85,264.71008
5831,262.05,264.64658
5832,260.7,263.9988
5833,260.55,263.075
5834,261.55,262.18884
5835,262.0,261.59457
5836,261.15,261.24957
5837,262.85,260.91937
5838,262.2,260.882
5839,262.0,260.84784
5840,260.15,260.7911
5841,260.15,260.4745
5842,257.7,260.1235
5843,0.0,259.4712
5844,255.95,223.9042
5845,257.1,217.33527
5846,259.45,220.955
5847,258.1,227.87575
5848,258.8,234.60582
5849,259.0,240.27098
5850,256.65,244.69112
5851,257.7,247.67422
5852,259.25,249.87857
5853,259.25,251.71783
5854,259.25,253.17598
5855,260.55,254.3106
5856,258.85,255.36847
5857,263.1,256.01794
5858,263.85,257.04587
5859,262.6,258.14645
5860,263.4,258.93582
5861,263.5,259.62228
5862,263.5,260.1851
5863,264.6,260.62436
5864,263.15,261.11227
5865,264.0,261.338
5866,263.95,261.5675
5867,266.4,261.75458
5868,266.6,262.2431
5869,266.6,262.7783
5870,265.2,263.24722
5871,267.85,263.42624
5872,268.45,263.85727
5873,269.05,264.38257
5874,268.35,264.94287
5875,266.6,265.33017
5876,270.9,265.3586
5877,274.0,265.87338
5878,273.0,266.8942
5879,291.25,267.7795
5880,284.15,271.05963
5881,283.15,273.57507
5882,286.05,275.33817
5883,276.25,276.99457
5884,276.25,276.97116
5885,275.75,276.4394
5886,271.0,275.75812
5887,267.5,274.47452
5888,265.4,272.71967
5889,266.5,270.7977
5890,265.7,269.27658
5891,265.5,268.00293
5892,266.1,266.97623
5893,267.0,266.26535
5894,268.5,265.88348
5895,269.9,265.86804
5896,271.95,266.16037
5897,272.4,266.787
5898,272.2,267.48053
5899,272.0,268.05765
5900,273.4,268.47888
5901,271.5,268.98193
5902,271.7,269.16577
5903,273.3,269.2534
5904,272.9,269.5229
5905,274.0,269.7537
5906,274.8,270.09567
5907,269.5,270.53305
5908,270.6,270.18875
5909,0.0,269.81174
5910,268.35,232.56674
5911,268.5,225.95224
5912,267.6,229.83246
5913,266.3,236.64026
5914,265.1,243.15651
5915,266.1,248.3397
5916,267.45,252.37637
5917,267.55,255.57906
5918,266.3,258.02805
5919,266.35,259.69376
5920,268.25,260.8781
5921,267.6,262.01166
5922,268.55,262.88132
5923,270.3,263.68527
5924,269.7,264.60184
5925,268.7,265.33774
5926,268.75,265.77118
5927,268.4,266.05374
5928,267.5,266.1979
5929,266.15,266.1523
5930,266.3,265.86655
5931,265.9,265.57123
5932,267.35,265.2616
5933,267.0,265.1988
5934,267.85,265.17255
5935,267.2,265.28107
5936,266.45,265.32135
5937,266.4,265.22772
5938,270.0,265.0974
5939,275.8,265.47842
5940,275.6,266.77322
5941,274.5,268.1277
5942,275.35,269.14062
5943,275.9,270.0073
5944,277.45,270.7686
5945,276.65,271.5989
5946,276.3,272.21198
5947,275.85,272.61752
5948,274.85,272.8343
5949,272.8,272.8202
5950,272.8,272.4503
5951,271.05,272.02917
5952,272.85,271.41144
5953,272.3,271.0838
5954,273.0,270.81894
5955,0.0,270.7152
5956,273.35,233.40877
5957,272.3,227.34198
5958,271.3,231.71294
5959,272.05,238.90707
5960,273.6,245.99875
5961,271.5,252.11179
5962,287.0,256.6165
5963,279.0,262.05807
5964,280.25,265.81604
5965,285.75,268.66104
5966,293.25,271.56317
5967,289.4,275.11444
5968,288.1,277.798
5969,288.5,279.63754
5970,292.5,280.99698
5971,288.2,282.57535
5972,288.0,283.37662
5973,291.45,283.79965
5974,289.8,284.53268
5975,293.1,285.0168
5976,290.6,285.8259
5977,291.65,286.25287
5978,290.1,286.64856
5979,290.35,286.7484
5980,291.2,286.77713
5981,291.85,286.89795
5982,290.0,287.12036
5983,287.15,287.07672
5984,281.85,286.5527
5985,281.8,285.20682
5986,281.85,283.80774
5987,281.1,282.6117
5988,281.6,281.55936
5989,281.0,280.7869
5990,279.15,280.1341
5991,275.9,279.35593
5992,276.05,278.19684
5993,275.5,277.1163
5994,276.7,276.144
5995,277.25,275.52414
5996,278.6,275.18527
5997,280.4,275.1759
5998,278.75,275.5223
5999,280.6,275.6906
6000,279.9,276.03815
6001,278.25,276.28427
6002,278.95,276.22855
6003,280.3,276.18637
6004,279.95,276.34464
6005,277.15,276.49326
6006,280.0,276.2236
6007,276.5,276.2698
6008,278.25,275.90994
6009,275.45,275.73175
6010,274.5,275.23947
6011,273.6,274.5951
6012,272.95,273.87457
6013,272.8,273.15015
6014,272.75,272.51535
6015,273.1,271.9991
6016,272.6,271.64822
6017,273.3,271.33133
6018,274.4,271.1712
6019,274.8,271.23688
6020,275.5,271.4175
6021,0.0,271.70377
6022,276.35,234.3326
6023,276.6,228.51738
6024,275.0,233.37589
6025,274.55,240.98318
6026,274.1,248.2367
6027,272.65,254.12741
6028,272.2,258.41272
6029,273.5,261.4321
6030,274.35,263.7594
6031,277.05,265.6376
6032,277.75,267.4836
6033,278.85,269.15338
6034,278.65,270.68604
6035,276.1,271.9263
6036,277.5,272.53674
6037,277.5,273.06348
6038,277.5,273.487
6039,277.5,273.8201
6040,277.7,274.0778
6041,276.5,274.30258
6042,276.5,274.3139
6043,276.5,274.2575
6044,278.35,274.187
6045,278.8,274.38333
6046,277.75,274.6945
6047,278.6,274.8455
6048,278.6,275.04236
6049,281.1,275.2198
6050,286.85,275.7164
6051,285.75,277.0471
6052,286.35,278.27618
6053,284.2,279.37326
6054,284.6,279.95142
6055,285.0,280.33554
6056,283.2,280.65512
6057,282.3,280.65295
6058,282.05,280.42822
6059,280.75,280.1354
6060,279.2,279.6847
6061,279.0,279.03802
6062,279.1,278.40332
6063,277.9,277.88394
6064,281.5,277.3113
6065,282.3,277.31937
6066,283.9,277.6161
