time,trade_price,amt,call_pos,put_pos,balance,margin,trade_type
2018/10/15,1229.95,5,5,0,999950,5000,buy_open
2018/10/15,1229.95,0,5,0,999950.0,5000,settle
2018/10/16,1230.7,5,10,0,999900.0,10000,buy_open
2018/10/16,1230.7,0,10,0,999903.75,10000,settle
2018/10/17,1229.05,5,10,5,999853.75,15000,sell_open
2018/10/17,1229.05,0,10,5,999841.0,15000,settle
2018/10/18,1223.0,5,10,10,999791.0,20000,sell_open
2018/10/18,1223.0,0,10,10,999748.0,20000,settle
2018/10/19,1227.85,5,15,10,999698.0,25000,buy_open
2018/10/19,1227.85,0,15,10,999655.0,25000,settle
2018/10/22,1222.3,5,15,15,999605.0,30000,sell_open
2018/10/22,1222.3,0,15,15,999534.25,30000,settle
2018/10/23,1235.95,5,20,15,999484.25,35000,buy_open
2018/10/23,1235.95,0,20,15,999413.5,35000,settle
2018/10/24,1230.55,5,20,20,999363.5,40000,sell_open
2018/10/24,1230.55,0,20,20,999265.75,40000,settle
2018/10/25,1230.8,5,25,20,999215.75,45000,buy_open
2018/10/25,1230.8,0,25,20,999118.0,45000,settle
2018/10/26,1233.85,5,30,20,999068.0,50000,buy_open
2018/10/26,1233.85,0,30,20,998985.5,50000,settle
2018/10/29,1230.8,5,30,25,998935.5,55000,sell_open
2018/10/29,1230.8,0,30,25,998822.5,55000,settle
2018/10/30,1225.4,5,30,30,998772.5,60000,sell_open
2018/10/30,1225.4,0,30,30,998632.5,60000,settle
2018/10/31,1214.95,5,30,35,998582.5,65000,sell_open
2018/10/31,1214.95,0,30,35,998442.5,65000,settle
2018/11/1,1231.15,5,35,35,998392.5,70000,buy_open
2018/11/1,1231.15,0,35,35,998171.5,70000,settle
2018/11/2,1232.1,5,40,35,998121.5,75000,buy_open
2018/11/2,1232.1,0,40,35,997900.5,75000,settle
2018/11/5,1232.25,5,45,35,997850.5,80000,buy_open
2018/11/5,1232.25,0,45,35,997630.25,80000,settle
2018/11/6,1231.6,5,45,40,997580.25,85000,sell_open
2018/11/6,1231.6,0,45,40,997353.5,85000,settle
2018/11/7,1229.95,5,45,45,997303.5,90000,sell_open
2018/11/7,1229.95,0,45,45,997068.5,90000,settle
2018/11/8,1224.15,5,45,50,997018.5,95000,sell_open
2018/11/8,1224.15,0,45,50,996783.5,95000,settle
2018/11/9,1211.4,5,45,55,996733.5,100000,sell_open
2018/11/9,1211.4,0,45,55,996562.25,100000,settle
2018/11/12,1205.55,5,45,60,996512.25,105000,sell_open
2018/11/12,1205.55,0,45,60,996399.5,105000,settle
2018/11/13,1202.1,5,45,65,996349.5,110000,sell_open
2018/11/13,1202.1,0,45,65,996288.5,110000,settle
2018/11/14,1203.25,5,50,65,996238.5,115000,buy_open
2018/11/14,1203.25,0,50,65,996154.5,115000,settle
2018/11/15,1211.85,5,55,65,996104.5,120000,buy_open
2018/11/15,1211.85,0,55,65,995891.5,120000,settle
2018/11/16,1222.4,5,60,65,995841.5,125000,buy_open
2018/11/16,1222.4,0,60,65,995523.0,125000,settle
2018/11/19,1221.6,5,60,70,995473.0,130000,sell_open
2018/11/19,1221.6,0,60,70,995158.5,130000,settle
2018/11/20,1223.0,5,65,70,995108.5,135000,buy_open
2018/11/20,1223.0,0,65,70,994780.0,135000,settle
2018/11/21,1226.1,5,70,70,994730.0,140000,buy_open
2018/11/21,1226.1,0,70,70,994386.0,140000,settle
2018/11/22,1227.05,5,75,70,994336.0,145000,buy_open
2018/11/22,1227.05,0,75,70,993992.0,145000,settle
2018/11/23,1223.65,5,75,75,993942.0,150000,sell_open
2018/11/23,1223.65,0,75,75,993581.0,150000,settle
2018/11/26,1223.4,5,75,80,993531.0,155000,sell_open
2018/11/26,1223.4,0,75,80,993170.0,155000,settle
2018/11/27,1221.2,5,75,85,993120.0,160000,sell_open
2018/11/27,1221.2,0,75,85,992770.0,160000,settle
2018/11/28,1213.25,5,75,90,992720.0,165000,sell_open
2018/11/28,1213.25,0,75,90,992449.5,165000,settle
2018/11/29,1226.25,5,80,90,992399.5,170000,buy_open
2018/11/29,1226.25,0,80,90,991934.0,170000,settle
2018/11/30,1217.55,5,80,95,991884.0,175000,sell_open
2018/11/30,1217.55,0,80,95,991505.5,175000,settle
2018/12/3,1230.3,5,85,95,991455.5,180000,buy_open
2018/12/3,1230.3,0,85,95,990885.75,180000,settle
2018/12/4,1240.3,5,90,95,990835.75,185000,buy_open
2018/12/4,1240.3,0,90,95,990166.0,185000,settle
2018/12/5,1235.9,5,90,100,990116.0,190000,sell_open
2018/12/5,1235.9,0,90,100,989468.25,190000,settle
2018/12/6,1242.55,5,95,100,989418.25,195000,buy_open
2018/12/6,1242.55,0,95,100,988704.0,195000,settle
2018/12/7,1243.3,5,100,100,988654.0,200000,buy_open
2018/12/7,1243.3,0,100,100,987936.0,200000,settle
2018/12/10,1245.35,5,105,100,987886.0,205000,buy_open
2018/12/10,1245.35,0,105,100,987168.0,205000,settle
2018/12/11,1245.3,5,105,105,987118.0,210000,sell_open
2018/12/11,1245.3,0,105,105,986399.75,210000,settle
2018/12/12,1245.75,5,110,105,986349.75,215000,buy_open
2018/12/12,1245.75,0,110,105,985631.5,215000,settle
2018/12/13,1242.75,5,110,110,985581.5,220000,sell_open
2018/12/13,1242.75,0,110,110,984848.25,220000,settle
2018/12/14,1235.35,5,110,115,984798.25,225000,sell_open
2018/12/14,1235.35,0,110,115,984065.0,225000,settle
2018/12/17,1241.65,5,115,115,984015.0,230000,buy_open
2018/12/17,1241.65,0,115,115,983250.25,230000,settle
2018/12/18,1246.3,5,120,115,983200.25,235000,buy_open
2018/12/18,1246.3,0,120,115,982435.5,235000,settle
2018/12/19,1255.0,5,125,115,982385.5,240000,buy_open
2018/12/19,1255.0,0,125,115,981664.25,240000,settle
2018/12/20,1259.75,5,130,115,981614.25,245000,buy_open
