time,trade_price,amt,call_pos,put_pos,balance,margin,trade_type
2018/10/15,1229.95,5,5,0,999950,5000,buy_open
2018/10/15,1229.95,0,5,0,999950.0,5000,settle
2018/10/16,1230.7,5,10,0,999900.0,10000,buy_open
2018/10/16,1230.7,0,10,0,1000275.0,10000,settle
2018/10/17,1229.05,5,10,5,1000225.0,15000,sell_open
2018/10/17,1229.05,0,10,5,998950.0,15000,settle
2018/10/18,1223.0,5,10,10,998900.0,20000,sell_open
2018/10/18,1223.0,0,10,10,994600.0,20000,settle
2018/10/19,1227.85,5,15,10,994550.0,25000,buy_open
2018/10/19,1227.85,0,15,10,990250.0,25000,settle
2018/10/22,1222.3,5,15,15,990200.0,30000,sell_open
2018/10/22,1222.3,0,15,15,983125.0,30000,settle
2018/10/23,1235.95,5,20,15,983075.0,35000,buy_open
2018/10/23,1235.95,0,20,15,976000.0,35000,settle
2018/10/24,1230.55,5,20,20,975950.0,40000,sell_open
2018/10/24,1230.55,0,20,20,966175.0,40000,settle
2018/10/25,1230.8,5,25,20,966125.0,45000,buy_open
2018/10/25,1230.8,0,25,20,956350.0,45000,settle
2018/10/26,1233.85,5,30,20,956300.0,50000,buy_open
2018/10/26,1233.85,0,30,20,948050.0,50000,settle
2018/10/29,1230.8,5,30,25,948000.0,55000,sell_open
2018/10/29,1230.8,0,30,25,936700.0,55000,settle
2018/10/30,1225.4,5,30,30,936650.0,60000,sell_open
2018/10/30,1225.4,0,30,30,922650.0,60000,settle
2018/10/31,1214.95,5,30,35,922600.0,65000,sell_open
2018/10/31,1214.95,0,30,35,908600.0,65000,settle
2018/11/1,1231.15,5,35,35,908550.0,70000,buy_open
2018/11/1,1231.15,0,35,35,886450.0,70000,settle
2018/11/2,1232.1,5,40,35,886400.0,75000,buy_open
2018/11/2,1232.1,0,40,35,864300.0,75000,settle
2018/11/5,1232.25,5,45,35,864250.0,80000,buy_open
2018/11/5,1232.25,0,45,35,842225.0,80000,settle
2018/11/6,1231.6,5,45,40,842175.0,85000,sell_open
2018/11/6,1231.6,0,45,40,819499.9999999991,85000,settle
2018/11/7,1229.95,5,45,45,819449.9999999991,90000,sell_open
2018/11/7,1229.95,0,45,45,795949.9999999991,90000,settle
2018/11/8,1224.15,5,45,50,795899.9999999991,95000,sell_open
2018/11/8,1224.15,0,45,50,772399.9999999991,95000,settle
2018/11/9,1211.4,5,45,55,772349.9999999991,100000,sell_open
2018/11/9,1211.4,0,45,55,755225.0,100000,settle
2018/11/12,1205.55,5,45,60,755175.0,105000,sell_open
2018/11/12,1205.55,0,45,60,743900.0,105000,settle
2018/11/13,1202.1,5,45,65,743850.0,110000,sell_open
2018/11/13,1202.1,0,45,65,737749.9999999991,110000,settle
2018/11/14,1203.25,5,50,65,737699.9999999991,115000,buy_open
2018/11/14,1203.25,0,50,65,729299.9999999991,115000,settle
2018/11/15,1211.85,5,55,65,729249.9999999991,120000,buy_open
2018/11/15,1211.85,0,55,65,707949.9999999991,120000,settle
2018/11/16,1222.4,5,60,65,707899.9999999991,125000,buy_open
2018/11/16,1222.4,0,60,65,676049.9999999991,125000,settle
2018/11/19,1221.6,5,60,70,675999.9999999991,130000,sell_open
2018/11/19,1221.6,0,60,70,644549.9999999991,130000,settle
2018/11/20,1223.0,5,65,70,644499.9999999991,135000,buy_open
2018/11/20,1223.0,0,65,70,611649.9999999991,135000,settle
2018/11/21,1226.1,5,70,70,611599.9999999991,140000,buy_open
2018/11/21,1226.1,0,70,70,577199.9999999991,140000,settle
2018/11/22,1227.05,5,75,70,577149.9999999991,145000,buy_open
2018/11/22,1227.05,0,75,70,542749.9999999991,145000,settle
2018/11/23,1223.65,5,75,75,542699.9999999991,150000,sell_open
2018/11/23,1223.65,0,75,75,506599.99999999907,150000,settle
2018/11/26,1223.4,5,75,80,506549.99999999907,155000,sell_open
2018/11/26,1223.4,0,75,80,470449.99999999907,155000,settle
2018/11/27,1221.2,5,75,85,470399.99999999907,160000,sell_open
2018/11/27,1221.2,0,75,85,435399.99999999907,160000,settle
2018/11/28,1213.25,5,75,90,435349.99999999907,165000,sell_open
2018/11/28,1213.25,0,75,90,408299.99999999907,165000,settle
2018/11/29,1226.25,5,80,90,408249.99999999907,170000,buy_open
2018/11/29,1226.25,0,80,90,361699.99999999907,170000,settle
2018/11/30,1217.55,5,80,95,361649.99999999907,175000,sell_open
2018/11/30,1217.55,0,80,95,323799.99999999907,175000,settle
2018/12/3,1230.3,5,85,95,323749.99999999907,180000,buy_open
2018/12/3,1230.3,0,85,95,266774.99999999907,180000,settle
2018/12/4,1240.3,5,90,95,266724.99999999907,185000,buy_open
2018/12/4,1240.3,0,90,95,199749.99999999907,185000,settle
2018/12/5,1235.9,5,90,100,199699.99999999907,190000,sell_open
2018/12/5,1235.9,0,90,100,134924.99999999907,190000,settle
2018/12/6,1242.55,0,90,100,63499.99999999907,190000,settle
2018/12/7,1243.3,0,0,0,0,0,settle
2018/12/10,1245.35,0,0,0,1171125.0,0,settle
2018/12/11,1245.3,5,0,5,1171075.0,5000,sell_open
2018/12/11,1245.3,0,0,5,2342200.0,5000,settle
2018/12/12,1245.75,5,5,5,2342150.0,10000,buy_open
2018/12/12,1245.75,0,5,5,3513050.0,10000,settle
2018/12/13,1242.75,5,5,10,3513000.0,15000,sell_open
2018/12/13,1242.75,0,5,10,4683900.0,15000,settle
2018/12/14,1235.35,5,5,15,4683850.0,20000,sell_open
2018/12/14,1235.35,0,5,15,5858450.0,20000,settle
2018/12/17,1241.65,5,10,15,5858400.0,25000,buy_open
2018/12/17,1241.65,0,10,15,7026700.0,25000,settle
2018/12/18,1246.3,5,15,15,7026650.0,30000,buy_open
2018/12/18,1246.3,0,15,15,8192625.0,30000,settle
2018/12/19,1255.0,5,20,15,8192575.0,35000,buy_open
2018/12/19,1255.0,0,20,15,9358550.0,35000,settle
