time,trade_price,amt,call_pos,put_pos,balance,margin,trade_type,call_val,put_val
2018/10/15,1229.95,5,5,0,999950,5000,buy_open,614975,0
2018/10/15,1229.95,0,5,0,999950,5000,settle,614975,0
2018/10/16,1230.7,5,10,0,999900,10000,buy_open,1230325,0
2018/10/16,1230.7,0,10,0,1000275,10000,settle,1230700,0
2018/10/17,1229.05,5,10,5,1000225,15000,sell_open,1230700,-614525
2018/10/17,1229.05,0,10,5,998575,15000,settle,1229050,-614525
2018/10/18,1223,5,10,10,998525,20000,sell_open,1229050,-1226025
2018/10/18,1223,0,10,10,989450,20000,settle,1223000,-1223000
2018/10/19,1227.85,5,15,10,989400,25000,buy_open,1836925,-1223000
2018/10/19,1227.85,0,15,10,999100,25000,settle,1841775,-1227850
2018/10/22,1222.3,5,15,15,999050,30000,sell_open,1841775,-1839000
2018/10/22,1222.3,0,15,15,985175,30000,settle,1833450,-1833450
2018/10/23,1235.95,5,20,15,985125,35000,buy_open,2451425,-1833450
2018/10/23,1235.95,0,20,15,1026075,35000,settle,2471900,-1853925
2018/10/24,1230.55,5,20,20,1026025,40000,sell_open,2471900,-2469200
2018/10/24,1230.55,0,20,20,1007125,40000,settle,2461100,-2461100
2018/10/25,1230.8,5,25,20,1007075,45000,buy_open,3076500,-2461100
2018/10/25,1230.8,0,25,20,1008075,45000,settle,3077000,-2461600
2018/10/26,1233.85,5,30,20,1008025,50000,buy_open,3693925,-2461600
2018/10/26,1233.85,0,30,20,1021750,50000,settle,3701550,-2467700
2018/10/29,1230.8,5,30,25,1021700,55000,sell_open,3701550,-3083100
2018/10/29,1230.8,0,30,25,1006450,55000,settle,3692400,-3077000
2018/10/30,1225.4,5,30,30,1006400,60000,sell_open,3692400,-3689700
2018/10/30,1225.4,0,30,30,976700,60000,settle,3676200,-3676200
2018/10/31,1214.95,5,30,35,976650,65000,sell_open,3676200,-4283675
2018/10/31,1214.95,0,30,35,913950,65000,settle,3644850,-4252325
2018/11/1,1231.15,5,35,35,913900,70000,buy_open,4260425,-4252325
2018/11/1,1231.15,0,35,35,1019200,70000,settle,4309025,-4309025
2018/11/2,1232.1,5,40,35,1019150,75000,buy_open,4925075,-4309025
2018/11/2,1232.1,0,40,35,1025800,75000,settle,4928400,-4312350
2018/11/5,1232.25,5,45,35,1025750,80000,buy_open,5544525,-4312350
2018/11/5,1232.25,0,45,35,1026875,80000,settle,5545125,-4312875
2018/11/6,1231.6,5,45,40,1026825,85000,sell_open,5545125,-4928675
2018/11/6,1231.6,0,45,40,1021625,85000,settle,5542200,-4926400
2018/11/7,1229.95,5,45,45,1021575,90000,sell_open,5542200,-5541375
2018/11/7,1229.95,0,45,45,1007550,90000,settle,5534775,-5534775
2018/11/8,1224.15,5,45,50,1007500,95000,sell_open,5534775,-6146850
2018/11/8,1224.15,0,45,50,955300,95000,settle,5508675,-6120750
2018/11/9,1211.4,5,45,55,955250,100000,sell_open,5508675,-6726450
2018/11/9,1211.4,0,45,55,834125,100000,settle,5451300,-6662700
2018/11/12,1205.55,5,45,60,834075,105000,sell_open,5451300,-7265475
2018/11/12,1205.55,0,45,60,775575,105000,settle,5424975,-7233300
2018/11/13,1202.1,5,45,65,775525,110000,sell_open,5424975,-7834350
2018/11/13,1202.1,0,45,65,739300,110000,settle,5409450,-7813650
2018/11/14,1203.25,5,50,65,739250,115000,buy_open,6011075,-7813650
2018/11/14,1203.25,0,50,65,751900,115000,settle,6016250,-7821125
2018/11/15,1211.85,5,55,65,751850,120000,buy_open,6622175,-7821125
2018/11/15,1211.85,0,55,65,850750,120000,settle,6665175,-7877025
2018/11/16,1222.4,5,60,65,850700,125000,buy_open,7276375,-7877025
2018/11/16,1222.4,0,60,65,977300,125000,settle,7334400,-7945600
2018/11/19,1221.6,5,60,70,977250,130000,sell_open,7334400,-8556400
2018/11/19,1221.6,0,60,70,967250,130000,settle,7329600,-8551200
2018/11/20,1223,5,65,70,967200,135000,buy_open,7941100,-8551200
2018/11/20,1223,0,65,70,985400,135000,settle,7949500,-8561000
2018/11/21,1226.1,5,70,70,985350,140000,buy_open,8562550,-8561000
2018/11/21,1226.1,0,70,70,1027200,140000,settle,8582700,-8582700
2018/11/22,1227.05,5,75,70,1027150,145000,buy_open,9196225,-8582700
2018/11/22,1227.05,0,75,70,1040450,145000,settle,9202875,-8589350
2018/11/23,1223.65,5,75,75,1040400,150000,sell_open,9202875,-9201175
2018/11/23,1223.65,0,75,75,991100,150000,settle,9177375,-9177375
2018/11/26,1223.4,5,75,80,991050,155000,sell_open,9177375,-9789075
2018/11/26,1223.4,0,75,80,987300,155000,settle,9175500,-9787200
2018/11/27,1221.2,5,75,85,987250,160000,sell_open,9175500,-10397800
2018/11/27,1221.2,0,75,85,953150,160000,settle,9159000,-10380200
2018/11/28,1213.25,5,75,90,953100,165000,sell_open,9159000,-10986825
2018/11/28,1213.25,0,75,90,825900,165000,settle,9099375,-10919250
2018/11/29,1226.25,5,80,90,825850,170000,buy_open,9712500,-10919250
2018/11/29,1226.25,0,80,90,1040350,170000,settle,9810000,-11036250
2018/11/30,1217.55,5,80,95,1040300,175000,sell_open,9810000,-11645025
2018/11/30,1217.55,0,80,95,892400,175000,settle,9740400,-11566725
2018/12/3,1230.3,5,85,95,892350,180000,buy_open,10355550,-11566725
2018/12/3,1230.3,0,85,95,1115475,180000,settle,10457550,-11687850
2018/12/4,1240.3,5,90,95,1115425,185000,buy_open,11077700,-11687850
2018/12/4,1240.3,0,90,95,1295425,185000,settle,11162700,-11782850
2018/12/5,1235.9,5,90,100,1295375,190000,sell_open,11162700,-12400800
2018/12/5,1235.9,0,90,100,1213975,190000,settle,11123100,-12359000
2018/12/6,1242.55,5,95,100,1213925,195000,buy_open,11744375,-12359000
2018/12/6,1242.55,0,95,100,1340275,195000,settle,11804225,-12425500
2018/12/7,1243.3,5,100,100,1340225,200000,buy_open,12425875,-12425500
2018/12/7,1243.3,0,100,100,1354850,200000,settle,12433000,-12433000
2018/12/10,1245.35,5,105,100,1354800,205000,buy_open,13055675,-12433000
2018/12/10,1245.35,0,105,100,1395800,205000,settle,13076175,-12453500
