time,trade_price,amt,call_pos,put_pos,balance,margin,trade_type
2018/10/15,1229.95,1,1,0,999950,1000,buy_open
2018/10/15,1229.95,0,1,0,999950.0,1000,settle
2018/10/16,1230.7,1,2,0,999900.0,2000,buy_open
2018/10/16,1230.7,0,2,0,999900.75,2000,settle
2018/10/17,1229.05,1,2,1,999850.75,3000,sell_open
2018/10/17,1229.05,0,2,1,999848.2,3000,settle
2018/10/18,1223.0,1,2,2,999798.2,4000,sell_open
2018/10/18,1223.0,0,2,2,999789.6,4000,settle
2018/10/19,1227.85,1,3,2,999739.6,5000,buy_open
2018/10/19,1227.85,0,3,2,999731.0,5000,settle
2018/10/22,1222.3,1,3,3,999681.0,6000,sell_open
2018/10/22,1222.3,0,3,3,999666.85,6000,settle
2018/10/23,1235.95,1,4,3,999616.85,7000,buy_open
2018/10/23,1235.95,0,4,3,999602.7,7000,settle
2018/10/24,1230.55,1,4,4,999552.7,8000,sell_open
2018/10/24,1230.55,0,4,4,999533.1499999999,8000,settle
2018/10/25,1230.8,1,5,4,999483.1499999999,9000,buy_open
2018/10/25,1230.8,0,5,4,999463.5999999999,9000,settle
2018/10/26,1233.85,1,6,4,999413.5999999999,10000,buy_open
2018/10/26,1233.85,0,6,4,999397.0999999999,10000,settle
2018/10/29,1230.8,1,6,5,999347.0999999999,11000,sell_open
2018/10/29,1230.8,0,6,5,999324.4999999999,11000,settle
2018/10/30,1225.4,1,6,6,999274.4999999999,12000,sell_open
2018/10/30,1225.4,0,6,6,999246.4999999999,12000,settle
2018/10/31,1214.95,1,6,7,999196.4999999999,13000,sell_open
2018/10/31,1214.95,0,6,7,999168.4999999999,13000,settle
2018/11/1,1231.15,1,7,7,999118.4999999999,14000,buy_open
2018/11/1,1231.15,0,7,7,999074.2999999999,14000,settle
2018/11/2,1232.1,1,8,7,999024.2999999999,15000,buy_open
2018/11/2,1232.1,0,8,7,998980.1,15000,settle
2018/11/5,1232.25,1,9,7,998930.1,16000,buy_open
2018/11/5,1232.25,0,9,7,998886.0499999999,16000,settle
2018/11/6,1231.6,1,9,8,998836.0499999999,17000,sell_open
2018/11/6,1231.6,0,9,8,998790.7,17000,settle
2018/11/7,1229.95,1,9,9,998740.7,18000,sell_open
2018/11/7,1229.95,0,9,9,998693.7,18000,settle
2018/11/8,1224.15,1,9,10,998643.7,19000,sell_open
2018/11/8,1224.15,0,9,10,998596.7,19000,settle
2018/11/9,1211.4,1,9,11,998546.7,20000,sell_open
2018/11/9,1211.4,0,9,11,998512.45,20000,settle
2018/11/12,1205.55,1,9,12,998462.45,21000,sell_open
2018/11/12,1205.55,0,9,12,998439.8999999999,21000,settle
2018/11/13,1202.1,1,9,13,998389.8999999999,22000,sell_open
2018/11/13,1202.1,0,9,13,998377.7,22000,settle
2018/11/14,1203.25,1,10,13,998327.7,23000,buy_open
2018/11/14,1203.25,0,10,13,998310.8999999999,23000,settle
2018/11/15,1211.85,1,11,13,998260.8999999999,24000,buy_open
2018/11/15,1211.85,0,11,13,998218.2999999999,24000,settle
2018/11/16,1222.4,1,12,13,998168.2999999999,25000,buy_open
2018/11/16,1222.4,0,12,13,998104.6,25000,settle
2018/11/19,1221.6,1,12,14,998054.6,26000,sell_open
2018/11/19,1221.6,0,12,14,997991.7,26000,settle
2018/11/20,1223.0,1,13,14,997941.7,27000,buy_open
2018/11/20,1223.0,0,13,14,997876.0,27000,settle
2018/11/21,1226.1,1,14,14,997826.0,28000,buy_open
2018/11/21,1226.1,0,14,14,997757.2,28000,settle
2018/11/22,1227.05,1,15,14,997707.2,29000,buy_open
2018/11/22,1227.05,0,15,14,997638.3999999999,29000,settle
2018/11/23,1223.65,1,15,15,997588.3999999999,30000,sell_open
2018/11/23,1223.65,0,15,15,997516.2,30000,settle
2018/11/26,1223.4,1,15,16,997466.2,31000,sell_open
2018/11/26,1223.4,0,15,16,997394.0,31000,settle
2018/11/27,1221.2,1,15,17,997344.0,32000,sell_open
2018/11/27,1221.2,0,15,17,997274.0,32000,settle
2018/11/28,1213.25,1,15,18,997224.0,33000,sell_open
2018/11/28,1213.25,0,15,18,997169.9,33000,settle
2018/11/29,1226.25,1,16,18,997119.9,34000,buy_open
2018/11/29,1226.25,0,16,18,997026.8,34000,settle
2018/11/30,1217.55,1,16,19,996976.8,35000,sell_open
2018/11/30,1217.55,0,16,19,996901.1000000001,35000,settle
2018/12/3,1230.3,1,17,19,996851.1000000001,36000,buy_open
2018/12/3,1230.3,0,17,19,996737.1500000001,36000,settle
2018/12/4,1240.3,1,18,19,996687.1500000001,37000,buy_open
2018/12/4,1240.3,0,18,19,996553.2000000002,37000,settle
2018/12/5,1235.9,1,18,20,996503.2000000002,38000,sell_open
2018/12/5,1235.9,0,18,20,996373.6500000001,38000,settle
2018/12/6,1242.55,1,19,20,996323.6500000001,39000,buy_open
2018/12/6,1242.55,0,19,20,996180.8000000002,39000,settle
2018/12/7,1243.3,1,20,20,996130.8000000002,40000,buy_open
2018/12/7,1243.3,0,20,20,995987.2000000002,40000,settle
2018/12/10,1245.35,1,21,20,995937.2000000002,41000,buy_open
2018/12/10,1245.35,0,21,20,995793.6000000002,41000,settle
2018/12/11,1245.3,1,21,21,995743.6000000002,42000,sell_open
2018/12/11,1245.3,0,21,21,995599.9500000002,42000,settle
2018/12/12,1245.75,1,22,21,995549.9500000002,43000,buy_open
2018/12/12,1245.75,0,22,21,995406.3000000002,43000,settle
2018/12/13,1242.75,1,22,22,995356.3000000002,44000,sell_open
2018/12/13,1242.75,0,22,22,995209.6500000001,44000,settle
2018/12/14,1235.35,1,22,23,995159.6500000001,45000,sell_open
2018/12/14,1235.35,0,22,23,995013.0000000001,45000,settle
2018/12/17,1241.65,1,23,23,994963.0000000001,46000,buy_open
2018/12/17,1241.65,0,23,23,994810.0500000002,46000,settle
2018/12/18,1246.3,1,24,23,994760.0500000002,47000,buy_open
2018/12/18,1246.3,0,24,23,994607.1000000002,47000,settle
2018/12/19,1255.0,1,25,23,994557.1000000002,48000,buy_open
2018/12/19,1255.0,0,25,23,994412.8500000002,48000,settle
2018/12/20,1259.75,1,26,23,994362.8500000002,49000,buy_open
