time,trade_price,amt,call_pos,put_pos,balance,margin,trade_type,call_val,put_val
2018/10/15,1229.95,5,5,0,999950,5000,buy_open,614975.0,0
2018/10/15,1229.95,0,5,0,999950.0,5000,settle,614975.0,-0.0
2018/10/16,1230.7,5,10,0,999900.0,10000,buy_open,1230325.0,-0.0
2018/10/16,1230.7,0,10,0,1000275.0,10000,settle,1230700.0,-0.0
2018/10/17,1229.05,5,10,5,1000225.0,15000,sell_open,1230700.0,-614525.0
2018/10/17,1229.05,0,10,5,998575.0,15000,settle,1229050.0,-614525.0
2018/10/18,1223.0,5,10,10,998525.0,20000,sell_open,1229050.0,-1226025.0
2018/10/18,1223.0,0,10,10,989450.0,20000,settle,1223000.0,-1223000.0
2018/10/19,1227.85,5,15,10,989400.0,25000,buy_open,1836925.0,-1223000.0
2018/10/19,1227.85,0,15,10,999100.0,25000,settle,1841775.0,-1227850.0
2018/10/22,1222.3,5,15,15,999050.0,30000,sell_open,1841775.0,-1839000.0
2018/10/22,1222.3,0,15,15,985175.0,30000,settle,1833450.0,-1833450.0
2018/10/23,1235.95,5,20,15,985125.0,35000,buy_open,2451425.0,-1833450.0
2018/10/23,1235.95,0,20,15,1026075.0,35000,settle,2471900.0,-1853925.0
2018/10/24,1230.55,5,20,20,1026025.0,40000,sell_open,2471900.0,-2469200.0
2018/10/24,1230.55,0,20,20,1007125.0,40000,settle,2461100.0,-2461100.0
2018/10/25,1230.8,5,25,20,1007075.0,45000,buy_open,3076500.0,-2461100.0
2018/10/25,1230.8,0,25,20,1008075.0,45000,settle,3077000.0,-2461600.0
2018/10/26,1233.85,5,30,20,1008025.0,50000,buy_open,3693925.0,-2461600.0
2018/10/26,1233.85,0,30,20,1021750.0,50000,settle,3701550.0,-2467700.0
2018/10/29,1230.8,5,30,25,1021700.0,55000,sell_open,3701550.0,-3083100.0
2018/10/29,1230.8,0,30,25,1006450.0,55000,settle,3692400.0,-3077000.0
2018/10/30,1225.4,5,30,30,1006400.0,60000,sell_open,3692400.0,-3689700.0
2018/10/30,1225.4,0,30,30,976700.0,60000,settle,3676200.0,-3676200.0
2018/10/31,1214.95,5,30,35,976650.0,65000,sell_open,3676200.0,-4283675.0
2018/10/31,1214.95,0,30,35,913950.0,65000,settle,3644850.0,-4252325.0
