broad_money,petrol_future,M_0,Target
28022.1,28.06,7063.8,1
28022.1,28.03,7063.8,1
28022.1,27.99,7063.8,1
28022.1,27.27,7063.8,0
28022.1,27.31,7063.8,0
28022.1,27.33,7063.8,1
28022.1,27.26,7063.8,0
28022.1,27.61,7063.8,1
28022.1,27.73,7063.8,0
28022.1,27.57,7063.8,0
28022.1,27.92,7063.8,0
28022.1,28.06,7063.8,1
28022.1,28.09,7063.8,1
28022.1,27.88,7063.8,1
28022.1,27.97,7063.8,0
28022.1,28.8,7063.8,0
28022.1,28.98,7063.8,1
28022.1,27.31,7063.8,0
28022.1,27.37,7063.8,0
28022.1,27.58,7063.8,1
28022.1,28.45,7063.8,0
28022.1,28.16,7063.8,1
28022.1,28.25,7063.8,0
28022.1,28.29,7063.8,1
28022.1,28.72,7063.8,0
28022.1,28.85,7063.8,0
28022.1,28.82,7063.8,1
28022.1,28.9,7063.8,0
28022.1,29.09,7063.8,1
28022.1,29.05,7063.8,1
28022.1,28.34,7063.8,0
28022.1,28.24,7063.8,0
28022.1,28.09,7063.8,0
28022.1,29.14,7063.8,1
28022.1,29.04,7063.8,0
28022.1,28.95,7063.8,0
28022.1,29.02,7063.8,1
28022.1,29.31,7063.8,0
28022.1,29.8,7063.8,1
28022.1,28.32,7063.8,0
28022.1,27.93,7063.8,0
28022.1,27.87,7063.8,1
28022.1,27.94,7063.8,1
28022.1,29.24,7063.8,1
28022.1,28.94,7063.8,1
28022.1,28.68,7063.8,0
28022.1,27.36,7063.8,0
28022.1,27.29,7063.8,0
28022.1,27.19,7063.8,1
28022.1,27.31,7063.8,1
28022.1,27.17,7063.8,0
28022.1,27.58,7063.8,1
28022.1,28.19,7063.8,0
28022.1,28.32,7063.8,1
28022.1,28.85,7063.8,1
28022.1,27.79,7063.8,1
28022.1,27.93,7063.8,0
28022.1,27.8,7063.8,1
28022.1,27.9,7063.8,1
28022.1,28,7063.8,0
28022.1,27.1,7063.8,1
28022.1,27.6,7063.8,0
28022.1,27.7,7063.8,0
28022.1,27.57,7063.8,0
28022.1,27.64,7063.8,1
28022.1,27.92,7063.8,1
28022.1,27.84,7063.8,0
28022.1,27.48,7063.8,1
28022.1,27.47,7063.8,0
28022.1,27.02,7063.8,0
28022.1,27.08,7063.8,1
28022.1,26.92,7063.8,0
28022.1,26.81,7063.8,0
28022.1,26.95,7063.8,1
28022.1,27.01,7063.8,0
28022.1,27.41,7063.8,0
28022.1,27.29,7063.8,1
28022.1,27.23,7063.8,1
28022.1,27.22,7063.8,1
28022.1,27.3,7063.8,1
28022.1,27.2,7063.8,0
28022.1,26.92,7063.8,0
28022.1,26.89,7063.8,1
28022.1,27.66,7063.8,1
28022.1,27.63,7063.8,0
28022.1,27.33,7063.8,0
28022.1,26.87,7063.8,1
28022.1,26.68,7063.8,0
28022.1,26.94,7063.8,0
28022.1,26.91,7063.8,1
28022.1,26.99,7063.8,0
28022.1,27.45,7063.8,1
28022.1,27.38,7063.8,0
28022.1,27.59,7063.8,1
28022.1,27.66,7063.8,1
28022.1,27.37,7063.8,0
28022.1,27.48,7063.8,1
28022.1,27.49,7063.8,0
28022.1,27.4,7063.8,0
28022.1,27.7,7063.8,0
28022.1,27.16,7063.8,1
28022.1,27.34,7063.8,0
28022.1,27.31,7063.8,0
28022.1,27.3,7063.8,0
28022.1,27.36,7063.8,1
28022.1,27.34,7063.8,0
28022.1,27.12,7063.8,1
28022.1,27.19,7063.8,0
28022.1,26.52,7063.8,0
28022.1,26.78,7063.8,1
28022.1,27.07,7063.8,1
28022.1,27.21,7063.8,0
28022.1,27.59,7063.8,0
28022.1,28.04,7063.8,1
28022.1,27.36,7063.8,1
28022.1,27.82,7063.8,1
28022.1,27.8,7063.8,1
28022.1,27.8,7063.8,0
28022.1,27.29,7063.8,0
28022.1,27.18,7063.8,1
28022.1,27.14,7063.8,0
28022.1,26.76,7063.8,0
28022.1,26.44,7063.8,0
28022.1,26.79,7063.8,1
28022.1,27.95,7063.8,1
28022.1,28.1,7063.8,1
28022.1,28.08,7063.8,1
28022.1,28.1,7063.8,1
28022.1,27.94,7063.8,0
28022.1,28.08,7063.8,0
28022.1,28.28,7063.8,0
28022.1,28.27,7063.8,0
28022.1,27.97,7063.8,0
28022.1,27.75,7063.8,0
28022.1,27.64,7063.8,1
28022.1,27.89,7063.8,1
28022.1,27.88,7063.8,0
28022.1,28.04,7063.8,0
28022.1,28.01,7063.8,1
28022.1,27.92,7063.8,0
28022.1,28.08,7063.8,0
28022.1,28.1,7063.8,0
28022.1,28.2,7063.8,1
28022.1,28.72,7063.8,1
28022.1,28.05,7063.8,1
28022.1,28.23,7063.8,1
28022.1,28.42,7063.8,1
28022.1,28.9,7063.8,1
28022.1,28.93,7063.8,0
28022.1,29.08,7063.8,0
28022.1,29.03,7063.8,0
28022.1,29.26,7063.8,1
28022.1,29.31,7063.8,0
28022.1,29,7063.8,1
28022.1,29.16,7063.8,0
28022.1,29.27,7063.8,1
28022.1,28.98,7063.8,1
28022.1,28.66,7063.8,0
28022.1,28.73,7063.8,1
28022.1,29.06,7063.8,1
28022.1,29.35,7063.8,1
28022.1,29.36,7063.8,0
28022.1,29.55,7063.8,1
28022.1,29.52,7063.8,1
28022.1,29.97,7063.8,0
28022.1,30.28,7063.8,1
28022.1,29.33,7063.8,0
28022.1,29.59,7063.8,1
28022.1,29.65,7063.8,0
28022.1,30.17,7063.8,1
28022.1,30.22,7063.8,0
28022.1,30.12,7063.8,0
28022.1,30.38,7063.8,0
28022.1,30.39,7063.8,0
28022.1,30.19,7063.8,1
28022.1,29.96,7063.8,0
28022.1,30.34,7063.8,0
28022.1,30.39,7063.8,0
28022.1,30.45,7063.8,0
28022.1,30.69,7063.8,1
28022.1,30.82,7063.8,1
28022.1,31.04,7063.8,1
28022.1,31.35,7063.8,1
28022.1,30.97,7063.8,1
28022.1,30.93,7063.8,0
28022.1,31.31,7063.8,1
28022.1,31.72,7063.8,1
28022.1,30.82,7063.8,1
28022.1,30.91,7063.8,1
28022.1,31.01,7063.8,1
28022.1,30.74,7063.8,1
28022.1,29.75,7063.8,0
28022.1,29.75,7063.8,0
28022.1,29.06,7063.8,1
28022.1,28.64,7063.8,1
28022.1,28.88,7063.8,0
28022.1,28.74,7063.8,0
28022.1,27.51,7063.8,0
28022.1,25.23,7063.8,0
28022.1,26.78,7063.8,0
28022.1,27.25,7063.8,1
28022.1,27.37,7063.8,1
28022.1,27.27,7063.8,1
28022.1,26.42,7063.8,1
28022.1,26.75,7063.8,0
28022.1,26.94,7063.8,1
28022.1,27.09,7063.8,0
28022.1,25.77,7063.8,1
28022.1,25.57,7063.8,1
28022.1,26.22,7063.8,0
28022.1,26.89,7063.8,1
28022.1,26.66,7063.8,0
28022.1,26.3,7063.8,1
28022.1,27.55,7063.8,0
28022.1,27.37,7063.8,0
28022.1,27.11,7063.8,1
28022.1,27.31,7063.8,1
28022.1,25.62,7063.8,0
28022.1,25.69,7063.8,1
28022.1,25.68,7063.8,1
28022.1,25.97,7063.8,0
28022.1,25.55,7063.8,0
28022.1,25.38,7063.8,0
28022.1,25.28,7063.8,1
28022.1,25.25,7063.8,0
28022.1,25.23,7063.8,0
28022.1,25.38,7063.8,1
28022.1,25.67,7063.8,0
28022.1,26.41,7063.8,1
28022.1,26.74,7063.8,0
28022.1,26.12,7063.8,0
28022.1,25.91,7063.8,1
28022.1,26.69,7063.8,0
28022.1,26.73,7063.8,0
28022.1,27.2,7063.8,0
28022.1,27.74,7063.8,1
28022.1,27.55,7063.8,0
28022.1,27.77,7063.8,0
28022.1,28.08,7063.8,1
28022.1,27.74,7063.8,1
28022.1,25.43,7063.8,1
28022.1,25.76,7063.8,1
28022.1,25.77,7063.8,1
28022.1,26.53,7063.8,1
28022.1,26.07,7063.8,1
28022.1,25.92,7063.8,0
28022.1,25.84,7063.8,0
28022.1,25.18,7063.8,1
28022.1,25.56,7063.8,0
28022.1,25.48,7063.8,1
33952.1,15.09,8724.1,1
33952.1,15.43,8724.1,0
33952.1,15.16,8724.1,1
33952.1,14.94,8724.1,1
33952.1,14.86,8724.1,1
33952.1,15.7,8724.1,0
33952.1,15.23,8724.1,1
33952.1,15.66,8724.1,1
33952.1,16.75,8724.1,0
33952.1,16.67,8724.1,1
33952.1,15.36,8724.1,0
33952.1,15.83,8724.1,1
33952.1,15.46,8724.1,0
33952.1,14.78,8724.1,0
33952.1,14.72,8724.1,0
33952.1,14.44,8724.1,1
33952.1,14.76,8724.1,1
33952.1,15.78,8724.1,0
33952.1,16.01,8724.1,0
33952.1,15.72,8724.1,1
33952.1,15.67,8724.1,0
33952.1,15.5,8724.1,1
33952.1,15.59,8724.1,1
33952.1,16.61,8724.1,1
33952.1,16.45,8724.1,1
33952.1,16.7,8724.1,0
33952.1,16.62,8724.1,1
33952.1,16.6,8724.1,0
33952.1,16.46,8724.1,0
33952.1,15.92,8724.1,0
33952.1,16,8724.1,1
33952.1,16.28,8724.1,0
33952.1,16.58,8724.1,0
33952.1,16.49,8724.1,1
33952.1,16.09,8724.1,0
33952.1,16.86,8724.1,1
33952.1,15.37,8724.1,0
33952.1,15.45,8724.1,1
33952.1,15.49,8724.1,1
33952.1,16,8724.1,1
33952.1,16.29,8724.1,0
33952.1,15.59,8724.1,1
33952.1,15.68,8724.1,0
33952.1,17.28,8724.1,0
33952.1,17.66,8724.1,1
33952.1,17.42,8724.1,0
33952.1,17.13,8724.1,1
33952.1,17.11,8724.1,0
33952.1,18.09,8724.1,1
33952.1,18.12,8724.1,0
33952.1,18.3,8724.1,1
33952.1,18.37,8724.1,1
33952.1,18.52,8724.1,1
33952.1,18.03,8724.1,0
33952.1,17.74,8724.1,1
33952.1,18.36,8724.1,0
33952.1,18.3,8724.1,0
33952.1,18.4,8724.1,1
33952.1,18.6,8724.1,0
33952.1,18.27,8724.1,1
33952.1,17.98,8724.1,1
33952.1,17.99,8724.1,0
33952.1,17.14,8724.1,1
33952.1,17.37,8724.1,0
33952.1,17.2,8724.1,0
33952.1,17.39,8724.1,1
33952.1,17.74,8724.1,0
33952.1,17.54,8724.1,1
33952.1,17.46,8724.1,1
33952.1,17.49,8724.1,1
33952.1,17.48,8724.1,1
