BIGau,LGdija,BIGpf
0,-9.31055,0
123.87135,-28.78858,39.64846
17.77296,-25.93739,30.58937
-27.9617,16.19501,36.13721
-46.14743,27.34734,30.12459
56.33616,65.60893,-17.18846
60.63547,13.25395,81.04601
-35.26773,42.71363,-1.4089
62.77856,32.20904,-21.18858
9.96089,22.63863,-26.98813
64.19478,43.89869,38.30157
-34.44847,-32.05031,0
-57.19392,62.153,-7.06745
57.19392,-11.67979,-2.8302
-24.77442,29.2497,9.89765
44.49271,-33.12557,12.69249
-59.42549,80.63964,-18.34553
-12.48332,-3.80793,9.88799
-57.89001,39.7821,-5.64752
7.59478,23.72385,-15.56866
0,-78.15807,-2.83667
42.78798,13.25025,-15.6349
-7.52025,16.64942,-11.4063
10.02411,25.24674,-31.52267
-25.1038,45.58495,35.80354
27.60621,-15.38939,-50.20801
96.48637,5.12409,30.19441
-7.3464,-35.31964,-48.99193
-31.97878,-18.98387,-36.37938
14.7887,15.5287,11.67459
-49.49278,-56.56222,46.38703
44.56881,10.13271,-30.38554
19.66249,-8.03932,-23.29443
-1.4716,-44.21086,29.09857
-37.9428,-4.92399,50.45802
-59.80053,38.29609,-4.30208
40.45553,66.34087,-31.67945
48.93928,35.3746,28.80903
-17.23882,-19.54993,8.60557
-27.22858,-26.16851,-17.22823
2.48239,-58.09565,8.62266
-281.94201,8.06328,11.47031
26.40096,33.21573,10.01173
-10.54113,5.73213,-5.71816
-39.7587,4.29414,-1.43072
-80.62629,-69.6934,34.20782
29.73706,-34.33637,1.41949
50.88924,12.80296,-15.64002
37.11941,25.89267,39.70072
18.44141,87.84454,32.34198
-53.96346,23.81004,0
3.72488,35.31413,41.82644
44.97759,38.50978,41.42745
31.47075,-21.30942,-27.57435
2.6123,-10.53633,2.76533
-10.45863,28.71344,-33.3007
59.79605,-5.95762,-32.15457
0,-13.6182,20.99736
30.87415,-0.35,13.94205
-41.2145,-42.95247,0
-36.38635,-72.09023,5.56431
-12.02236,16.52532,-5.56431
12.02236,28.95545,24.98345
2.60916,11.71266,-4.15394
-57.76674,-59.7082,-11.09664
9.50548,43.3372,-9.73287
6.32545,-36.47889,27.75054
142.48935,-11.53248,0
45.63557,29.79236,33.06827
-15.15864,-61.23969,10.96704
-17.75221,-2.53725,20.48885
-10.17679,23.53945,-2.72627
-40.94734,-43.56318,-20.50174
1.54251,-8.78722,0
13.85802,26.27222,-10.97397
45.8766,110.11165,4.11849
15.18514,5.33759,-19.25311
-63.62471,6.35414,-6.89685
-15.40964,5.9926,-8.2907
35.87113,37.94858,17.94323
7.64828,-46.41113,27.46101
-7.64828,-50.1247,12.30103
-35.87113,-61.59697,24.49803
-112.0654,-18.18159,16.25558
31.56606,-22.64263,10.80335
-34.20695,35.7512,0
31.58519,-53.73777,-8.09999
-44.81379,0.734,1.35105
-13.26901,-74.89075,-13.52943
47.57991,19.41105,-14.93122
-50.23858,28.56711,27.10961
37.07414,-5.87591,-25.7501
7.377,31.09986,5.43378
37.22023,39.00092,1.35738
46.7267,-11.11264,-2.71519
20.60713,58.30565,-14.96396
-10.29134,-50.90621,-20.48885
-38.8112,6.296,-9.59464
41.38633,32.39072,-16.49744
47.62105,-37.19377,16.49744
-24.51339,-31.57005,-10.99132
-7.6889,2.96946,21.9549
-64.60912,25.61419,9.57048
0,7.42577,-19.16209
11.44113,7.01369,2.74262
-40.1765,72.45011,-12.35547
24.56749,-33.51815,1.37457
9.37214,30.98198,-4.12501
7.7947,82.36052,-28.98528
-52.23087,18.85631,2.76885
7.87479,7.08056,-5.53947
7.86054,-22.36223,-18.05223
10.45863,-37.53996,-8.35718
-95.04696,-17.63268,11.13933
-53.71676,19.04586,23.57664
37.67138,-51.27361,11.05076
2.67835,37.97154,9.6464
71.69806,29.06313,-13.78714
1.05335,53.34456,-16.60255
-11.60088,-20.56058,8.30921
-37.11941,49.4246,-12.46978
55.56082,-6.67053,0
20.98045,17.88018,-11.11439
-28.87432,-44.31721,-15.32888
14.19866,-20.9304,-49.1368
-51.22764,-6.4039,-22.64905
-40.02742,-24.61852,-34.19659
-175.05422,-6.44984,-63.40178
49.95135,18.9697,37.57646
-44.37275,47.18646,-5.75987
49.8876,64.13675,17.25676
37.31641,11.45152,30.03531
39.1651,42.46499,53.82714
-21.71477,-66.46234,-39.5973
