date,xau,lag1,lag2,lag3,cbv,ccu,cfi2z,clq,ctv,djci,dji,fui,gbp,gcq,gld,hen,hoq,kcu,lbn,lcc,leq,lrcu,lsu,ngq,rbq,sp500,tyvix,usd,usu,zcu,zsq,zwu,Target
1979/1/5,225.5,0.008946734,-0.015992893,0.001534611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1979/1/8,223.1,0.004549655,0.008946734,-0.015992893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979/1/9,224,-0.004646976,0.004549655,0.008946734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1979/1/10,220.7,0.001748448,-0.004646976,0.004549655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979/1/11,220.65,-0.006445685,0.001748448,-0.004646976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979/1/12,217.6,-9.84E-05,-0.006445685,0.001748448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979/1/15,216.85,-0.006045041,-9.84E-05,-0.006445685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979/1/16,220.65,-0.001499465,-0.006045041,-9.84E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1979/1/17,227.25,0.007544505,-0.001499465,-0.006045041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1979/1/18,231.75,0.01279996,0.007544505,-0.001499465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1979/1/19,230.55,0.008515851,0.01279996,0.007544505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979/1/22,235,-0.002254616,0.008515851,0.01279996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1979/1/23,230,0.008302736,-0.002254616,0.008515851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979/1/24,236.1,-0.009340026,0.008302736,-0.002254616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1979/1/25,233.85,0.011368151,-0.009340026,0.008302736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979/1/26,235.45,-0.004158613,0.011368151,-0.009340026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1979/1/29,235.2,0.002961321,-0.004158613,0.011368151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979/1/30,233.5,-0.000461377,0.002961321,-0.004158613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979/1/31,233.7,-0.003150433,-0.000461377,0.002961321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
