BIGau,Ndate,BIGpf,LGdija,usdin,loggas,logauf
-8.69459,1990/4/4,-112.69751,-27.60477,-4.135919404,0,20.77967993
47.89319,1990/4/5,-77.53487,2.87372,-4.139861921,-13.42487876,-26.5695019
-8.04143,1990/4/6,-63.04022,-6.46855,-11.52036545,26.80838648,67.83294599
-11.51365,1990/4/9,-164.07862,7.9047,2.767676027,31.95314097,-53.95031887
-17.3279,1990/4/10,-182.78656,14.35133,-41.70148692,-45.33664869,-11.565772
-8.11008,1990/4/11,92.35485,-2.14729,-2.328531941,-40.39977802,-8.114406133
11.58119,1990/4/12,-67.85989,34.97174,-1.863724873,-18.98261763,18.52498599
0,1990/4/16,17.06464,17.73449,19.99325058,0,-8.094960068
-17.38339,1990/4/17,-100.9174,4.25746,-1.855959353,-35.47508424,0
8.70039,1990/4/18,-121.20633,-51.95499,-22.33359875,-5.483516914,10.40503715
11.57348,1990/4/19,272.91898,-33.40486,10.71584847,-35.81262453,13.83471779
2.88856,1990/4/20,-26.53293,-25.68243,16.25616236,-75.33726346,-8.064895203
-8.67144,1990/4/23,262.8624,-47.42558,22.19567771,33.644673,26.44289594
17.90193,1990/4/24,-15.97092,-19.86545,-3.229813029,0,-34.52279561
-62.10531,1990/4/25,-78.41962,19.49086,-33.36109726,-8.386764407,-60.49739684
1.75343,1990/4/26,-44.44744,16.48413,3.254709615,16.75736414,-2.343737142
0,1990/4/27,16.42834,-51.46342,-10.23731172,-8.370599737,7.027420334
-45.23024,1990/4/30,0,19.18438,2.794388184,27.8394852,-31.71332824
20.61761,1990/5/1,62.79066,19.83232,1.861927068,0,18.82102542
1.1752,1990/5/2,-30.11924,33.58599,7.439735985,27.66216243,-5.872813362
3.52369,1990/5/3,-163.45709,10.53117,-7.439735985,0,22.27456673
16.40618,1990/5/4,-2.41476,22.79707,-38.79950676,0,-5.850660752
0,1990/5/7,69.4886,18.00508,-13.16757424,13.76528829,11.6934503
-7.60945,1990/5/8,2.37644,19.01123,-2.355559432,8.238279079,-22.24454292
-4.10292,1990/5/9,165.48773,-1.08048,-40.24123298,-19.24701709,22.24454292
16.97265,1990/5/10,6.85548,8.93769,-0.475652464,-5.514851305,-21.07093264
-37.54562,1990/5/11,-16.01298,98.88697,3.328473775,-24.90386141,-15.28172714
5.29951,1990/5/14,170.7741,30.81644,-3.328473775,-25.04749229,-4.712908568
-14.73685,1990/5/15,-26.52188,1.41585,-4.283218075,-11.17875732,29.37211804
24.72942,1990/5/16,-125.95648,-4.26433,7.611691849,50.07935487,-22.3046717
-7.63931,1990/5/17,-36.66888,18.48951,10.44434107,0,5.880765718
8.22639,1990/5/18,-32.34123,-18.13527,-6.643492059,-44.48637944,60.69250363
37.40918,1990/5/21,-110.37004,37.98172,29.34433339,8.375981032,-16.25703167
23.21815,1990/5/22,-140.18513,11.51124,4.243229277,153.4575482,26.67593668
-124.49531,1990/5/23,111.55022,6.13194,8.944336971,-29.71855641,-135.0490466
23.76446,1990/5/24,-74.8594,-1.07969,7.987243223,-5.425290923,28.53300043
0,1990/5/25,-7.31341,-52.98999,-1.878030221,-21.76919254,20.09805191
14.19651,1990/5/29,43.69685,75.65268,-16.46749914,-19.13796848,-9.446321982
-15.38165,1990/5/30,24.08739,12.19248,15.52817939,0,-39.18473036
-39.89024,1990/5/31,-166.49178,-2.86752,30.42437546,13.67857767,2.38492308
4.78232,1990/6/1,24.888,36.54703,0.466406575,-13.67857767,-61.22843247
-77.15636,1990/6/4,-90.27231,50.92982,-5.600187519,-8.227873921,-7.260427691
12.75284,1990/6/5,-118.14771,-15.10349,-16.37524899,-41.37482693,14.50873783
16.94574,1990/6/6,62.04312,-19.86702,0,-19.44398114,-29.0661084
-81.70318,1990/6/7,-64.64759,-21.41205,7.49349017,36.04124269,-34.15816905
8.60842,1990/6/8,28.56357,-52.70675,15.8808656,5.518355023,13.45133921
