date,y,m,d,BIGpf,BIGau
1983/4/4,1983,4,4,0,0
1983/4/5,1983,4,5,39.64846,123.87135
1983/4/6,1983,4,6,30.58937,17.77296
1983/4/7,1983,4,7,36.13721,-27.9617
1983/4/8,1983,4,8,30.12459,-46.14743
1983/4/11,1983,4,11,-17.18846,56.33616
1983/4/12,1983,4,12,81.04601,60.63547
1983/4/13,1983,4,13,-1.4089,-35.26773
1983/4/14,1983,4,14,-21.18858,62.77856
1983/4/15,1983,4,15,-26.98813,9.96089
1983/4/18,1983,4,18,38.30157,64.19478
1983/4/19,1983,4,19,0,-34.44847
1983/4/20,1983,4,20,-7.06745,-57.19392
1983/4/21,1983,4,21,-2.8302,57.19392
1983/4/22,1983,4,22,9.89765,-24.77442
1983/4/25,1983,4,25,12.69249,44.49271
1983/4/26,1983,4,26,-18.34553,-59.42549
1983/4/27,1983,4,27,9.88799,-12.48332
1983/4/28,1983,4,28,-5.64752,-57.89001
1983/4/29,1983,4,29,-15.56866,7.59478
1983/5/2,1983,5,2,-2.83667,0
1983/5/3,1983,5,3,-15.6349,42.78798
1983/5/4,1983,5,4,-11.4063,-7.52025
1983/5/5,1983,5,5,-31.52267,10.02411
1983/5/6,1983,5,6,35.80354,-25.1038
1983/5/9,1983,5,9,-50.20801,27.60621
1983/5/10,1983,5,10,30.19441,96.48637
1983/5/11,1983,5,11,-48.99193,-7.3464
1983/5/12,1983,5,12,-36.37938,-31.97878
1983/5/13,1983,5,13,11.67459,14.7887
1983/5/16,1983,5,16,46.38703,-49.49278
1983/5/17,1983,5,17,-30.38554,44.56881
1983/5/18,1983,5,18,-23.29443,19.66249
1983/5/19,1983,5,19,29.09857,-1.4716
1983/5/20,1983,5,20,50.45802,-37.9428
1983/5/23,1983,5,23,-4.30208,-59.80053
1983/5/24,1983,5,24,-31.67945,40.45553
1983/5/25,1983,5,25,28.80903,48.93928
1983/5/26,1983,5,26,8.60557,-17.23882
1983/5/27,1983,5,27,-17.22823,-27.22858
1983/5/31,1983,5,31,8.62266,2.48239
1983/6/1,1983,6,1,11.47031,-281.94201
1983/6/2,1983,6,2,10.01173,26.40096
1983/6/3,1983,6,3,-5.71816,-10.54113
1983/6/6,1983,6,6,-1.43072,-39.7587
1983/6/7,1983,6,7,34.20782,-80.62629
1983/6/8,1983,6,8,1.41949,29.73706
1983/6/9,1983,6,9,-15.64002,50.88924
1983/6/10,1983,6,10,39.70072,37.11941
1983/6/13,1983,6,13,32.34198,18.44141
1983/6/14,1983,6,14,0,-53.96346
1983/6/15,1983,6,15,41.82644,3.72488
1983/6/16,1983,6,16,41.42745,44.97759
1983/6/17,1983,6,17,-27.57435,31.47075
1983/6/20,1983,6,20,2.76533,2.6123
1983/6/21,1983,6,21,-33.3007,-10.45863
1983/6/22,1983,6,22,-32.15457,59.79605
1983/6/23,1983,6,23,20.99736,0
1983/6/24,1983,6,24,13.94205,30.87415
1983/6/27,1983,6,27,0,-41.2145
1983/6/28,1983,6,28,5.56431,-36.38635
1983/6/29,1983,6,29,-5.56431,-12.02236
1983/6/30,1983,6,30,24.98345,12.02236
1983/7/1,1983,7,1,-4.15394,2.60916
1983/7/5,1983,7,5,-11.09664,-57.76674
1983/7/6,1983,7,6,-9.73287,9.50548
1983/7/7,1983,7,7,27.75054,6.32545
1983/7/8,1983,7,8,0,142.48935
1983/7/11,1983,7,11,33.06827,45.63557
1983/7/12,1983,7,12,10.96704,-15.15864
1983/7/13,1983,7,13,20.48885,-17.75221
1983/7/14,1983,7,14,-2.72627,-10.17679
1983/7/15,1983,7,15,-20.50174,-40.94734
1983/7/18,1983,7,18,0,1.54251
1983/7/19,1983,7,19,-10.97397,13.85802
1983/7/20,1983,7,20,4.11849,45.8766
1983/7/21,1983,7,21,-19.25311,15.18514
1983/7/22,1983,7,22,-6.89685,-63.62471
1983/7/25,1983,7,25,-8.2907,-15.40964
1983/7/26,1983,7,26,17.94323,35.87113
1983/7/27,1983,7,27,27.46101,7.64828
1983/7/28,1983,7,28,12.30103,-7.64828
1983/7/29,1983,7,29,24.49803,-35.87113
1983/8/1,1983,8,1,16.25558,-112.0654
1983/8/2,1983,8,2,10.80335,31.56606
1983/8/3,1983,8,3,0,-34.20695
1983/8/4,1983,8,4,-8.09999,31.58519
1983/8/5,1983,8,5,1.35105,-44.81379
1983/8/8,1983,8,8,-13.52943,-13.26901
1983/8/9,1983,8,9,-14.93122,47.57991
1983/8/10,1983,8,10,27.10961,-50.23858
1983/8/11,1983,8,11,-25.7501,37.07414
1983/8/12,1983,8,12,5.43378,7.377
1983/8/15,1983,8,15,1.35738,37.22023
1983/8/16,1983,8,16,-2.71519,46.7267
1983/8/17,1983,8,17,-14.96396,20.60713
1983/8/18,1983,8,18,-20.48885,-10.29134
1983/8/19,1983,8,19,-9.59464,-38.8112
1983/8/22,1983,8,22,-16.49744,41.38633
1983/8/23,1983,8,23,16.49744,47.62105
1983/8/24,1983,8,24,-10.99132,-24.51339
1983/8/25,1983,8,25,21.9549,-7.6889
1983/8/26,1983,8,26,9.57048,-64.60912
1983/8/29,1983,8,29,-19.16209,0
1983/8/30,1983,8,30,2.74262,11.44113
1983/8/31,1983,8,31,-12.35547,-40.1765
1983/9/1,1983,9,1,1.37457,24.56749
1983/9/2,1983,9,2,-4.12501,9.37214
1983/9/6,1983,9,6,-28.98528,7.7947
1983/9/7,1983,9,7,2.76885,-52.23087
1983/9/8,1983,9,8,-5.53947,7.87479
1983/9/9,1983,9,9,-18.05223,7.86054
1983/9/12,1983,9,12,-8.35718,10.45863
1983/9/13,1983,9,13,11.13933,-95.04696
1983/9/14,1983,9,14,23.57664,-53.71676
1983/9/15,1983,9,15,11.05076,37.67138
1983/9/16,1983,9,16,9.6464,2.67835
1983/9/19,1983,9,19,-13.78714,71.69806
1983/9/20,1983,9,20,-16.60255,1.05335
1983/9/21,1983,9,21,8.30921,-11.60088
