lgrau,lgrpf,lgm3,lgm1
0,0,0,0
0.00553913,-0.000464569,0,0
0.007128691,-0.000620199,0,0
-0.025919075,-0.011317761,0,0
-0.000879892,0.000636562,0,0
0.004381743,0.000317932,0,0
-0.005331318,-0.00111378,0,0
0.009004726,0.005540555,0,0
-0.000665586,0.001883463,0,0
-0.049324611,-0.002513103,0,0
-0.003822446,0.005478648,0,0
0.002701685,0.002172253,0,0
0.061169237,0.000464073,0,0
0.002268538,-0.00325897,0,0
-0.000517479,0.001399697,0,0
-0.024975901,0.012700021,0,0
0.009828387,0.002705893,0,0
-0.002015291,-0.025776681,0,0
-0.001146163,0.000953097,0,0
0.006699107,0.003319464,0,0
-0.003872885,0.013488009,0,0
0.008830262,-0.00444962,0,0
-0.005489518,0.001385802,0,0
0.003975263,0.000614495,0,0
-0.010885478,0.006551488,0,0
-0.003190112,0.001961382,0,0
0.003392943,-0.000451841,0,0
-0.006126513,0.001203866,0,0
0,0.002845878,0,0
0.008620334,-0.000597585,0,0
-0.006227521,-0.010746291,0,0
-0.004110073,-0.001535154,0,0
-0.001240645,-0.002312953,0,0
0.026312698,0.015937808,0,0
-0.004899952,-0.001492935,0,0
-0.004159119,-0.001348044,0,0
0.003172459,0.00104884,0,0
-0.003637052,0.00431841,0,0
0.000994948,0.007200446,0,0
-0.001460038,-0.022123015,0,0
-0.006226791,-0.006022313,0,0
0.000673847,-0.000933967,0,0
0.001344566,0.001089433,0,0
0.00500537,0.019750967,0,0
0.006585334,-0.004478842,0,0
-0.003082674,-0.00391938,0,0
-0.022491236,-0.020463054,0,0
-0.000693761,-0.001112557,0,0
0,-0.001594328,0,0
0.001040227,0.001912493,0,0
-0.000901386,-0.002232062,0,0
0.003112244,0.006504623,0,0
-0.03492868,0.009500814,0,0
0.002902999,0.001998173,0,0
0.009030538,0.008052568,0,0
0.033412991,-0.016257271,0,0
-0.003580577,0.002182389,0,0
0.003244045,-0.00202614,0,0
0.001075986,0.001559407,0,0
-0.011433044,0.001553828,0,0
0.001857874,-0.01418874,0,0
-0.001168845,0.007939791,0,0
-0.000964946,0.001570687,0,0
-0.004787383,-0.002043003,0,0
0.001045234,0.001101273,0,0
0.003604124,0.004377375,0,0
-0.00082907,-0.001246183,0,0
0.005634021,-0.005652503,0,0
-0.003357875,-0.000158069,0,0
-0.001999613,-0.007173315,0,0
0.000828543,0.000963315,0,0
-0.000690343,-0.002573604,0,0
-0.003189787,-0.001778242,0,0
0.00415596,0.002261956,0,0
-0.000689904,0.000965815,0,0
-0.001036915,0.006384451,0,0
0.006184678,-0.0019055,0,0
0.000886107,-0.000955894,0,0
0.006555258,-0.00015952,0,0
0.002207772,0.001274526,0,0
-0.009853879,-0.001593743,0,0
-0.006395395,-0.004493848,0,0
0.001659462,-0.000484253,0,0
0.010701983,0.012261374,0,0
-0.001551415,-0.000471291,0,0
-0.012128283,-0.004741253,0,0
0.007235538,-0.007371965,0,0
-0.005294244,-0.003081841,0,0
-0.00788823,0.004211766,0,0
0.002948664,-0.000483894,0,0
-0.001542041,0.001289187,0,0
0.007793989,0.007339464,0,0
-0.000483048,-0.001108905,0,0
0.008884383,0.003318257,0,0
0.007378153,0.001100475,0,0
-0.00636463,-0.004577378,0,0
0.005165841,0.001741931,0,0
-0.007534418,0.000158011,0,0
-0.001495459,-0.001424177,0,0
-0.002252888,0.004729206,0,0
0.007128088,-0.008550003,0,0
-0.00644416,0.002868745,0,0
-0.000478637,-0.00047681,0,0
-0.000616166,-0.000159053,0,0
0.01289243,0.000953446,0,0
-0.00166588,-0.000317583,0,0
0.002993999,-0.003508825,0,0
-0.00722058,0.001119522,0,0
-0.029063669,-0.010835688,0,0
0.001151784,0.004237053,0,0
0.001148738,0.004677683,0,0
-0.001724248,0.002240286,0,0
-0.002671701,0.006023159,0,0
0.000506719,0.007026309,0,0
0.003387031,-0.010661916,0,0
0.001003818,0.007241033,0,0
0.001358624,-0.00031233,0,0
-0.000214237,0,0,0
-0.00200466,-0.00804126,0,0
0.00043035,-0.001754083,0,0
-0.00439522,-0.000639609,0,0
-0.002105234,-0.006123734,0,0
-0.021098345,-0.005224658,0,0
0.002285766,0.005711263,0,0
0.068864064,0.018409099,0,0
0,0.002324508,0,0
0.001488974,-0.000309216,0,0
0.006287724,0.000309216,0,0
-0.0049971,-0.002479918,0,0
-0.004859743,0.002170702,0,0
-0.006631581,0.003082302,0,0
-0.002920977,-0.000153597,0,0
-0.000333176,-0.004633342,0,0
-0.011277502,-0.003429479,0,0
0.002659998,-0.001724949,0,0
0.003116635,0.003910476,0,0
-0.001216891,-0.000155745,0,0
-0.002035759,0.00248524,0,0
0.00277982,-0.0004649,0,0
-0.002711807,-0.001397695,0,0
-0.002318425,0.00248169,0,0
-0.00184996,0.000309216,0,0
6.87E-05,0.001542788,0,0
0.003895657,0.007935327,0,0
0.011150146,-0.01025157,0,0
0.000596422,0.002778013,0,0
0.000793957,0.002913195,0,0
0.00099041,0.007273769,0,0
-0.000858225,0.000450591,0,0
-0.003783135,0.002245969,0,0
-0.004691498,-0.000747366,0,0
0.003623615,0.003427286,0,0
-6.68E-05,0.000741497,0,0
0.004124132,-0.004617821,0,0
-0.002989419,0.002389522,0,0
0.000799193,0.001635203,0,0
0.000266071,-0.004324341,0,0
-0.001398695,-0.004822195,0,0
0.000133403,0.00105944,0,0
0.001398266,0.004959984,0,0
0.00046509,0.004312496,0,0
-0.004472141,0.000147946,0,0
0.002475382,0.002801434,0,0
0.000999527,-0.000441132,0,0
-0.000133137,0.00657039,0,0
0.002125318,0.004469128,0,0
-0.00245834,-0.013843808,0,0
0.000399596,0.003832902,0,0
-0.001066408,0.000879733,0,0
0.001465637,0.007550612,0,0
-0.000266112,0.00071915,0,0
-0.000133117,-0.001439492,0,0
-0.001466987,0.003732802,0,0
-0.002142684,0.000142931,0,0
0.002476526,-0.002867587,0,0
-0.001002296,-0.003321304,0,0
-0.00026767,0.005473767,0,0
-0.001878323,0.000715124,0,0
-0.001414093,0.000856597,0,0
0.001548529,0.003409591,0,0
0,0.001835746,0,0
0.001877743,0.003089078,0,0
0.001069362,0.004315833,0,0
0.000133485,-0.00529634,0,0
-0.002543264,-0.000561285,0,0
0.001139617,0.005303148,0,0
0.00173718,0.005650111,0,0
0.000199997,-0.012500544,0,0
0.000932106,0.001266371,0,0
0.004893883,0.001402761,0,0
0.001378818,-0.003797903,0,0
-0.004083478,-0.014216893,0,0
-0.008891431,0,0,0
0.001483386,-0.01019136,0,0
0.002148647,-0.006322596,0,0
-0.001879484,0.003624175,0,0
-0.000673221,-0.002110425,0,0
-0.006653383,-0.018996173,0,0
-0.00054766,-0.03757334,0,0
-0.002059899,0.025893322,0,0
0.002744366,0.007555934,0,0
0.00034183,0.001908291,0,0
0.001160212,-0.001589659,0,0
0.003462155,-0.013752325,0,0
-0.007708563,0.005390973,0,0
0.00171726,0.003073805,0,0
-0.00240607,0.002411414,0,0
0.014307146,-0.021694586,0,0
0.002726193,-0.003383691,0,0
-0.003661022,0.010901959,0,0
0.002665618,0.010958115,0,0
-6.64E-05,-0.003730657,0,0
0,-0.005904397,0,0
-0.01617835,0.020165855,0,0
-0.001796893,-0.002846806,0,0
0.002898989,-0.00414528,0,0
0.000275088,0.003192183,0,0
-0.01846846,-0.027742575,0,0
0.003998794,0.001184979,0,0
0.003539502,-0.000169085,0,0
-0.001058825,0.00487693,0,0
-0.000495003,-0.007081045,0,0
-0.009513872,-0.002899287,0,0
0.000867,-0.001714548,0,0
-0.002896756,-0.000515687,0,0
-0.00160149,-0.000344132,0,0
0.007949039,0.002574367,0,0
-0.000501536,0.004934251,0,0
0.005343696,0.012342533,0,0
-0.004341202,0.005393002,0,0
-0.006630579,-0.01018823,0,0
0.004048047,-0.00350576,0,0
-0.016124833,0.012881161,0,0
-0.00457907,0.000650385,0,0
-0.000755295,0.007569945,0,0
0.002111524,0.008537553,0,0
-0.001129897,-0.002984854,0,0
-0.000754901,0.003454277,0,0
0.003311794,0.004821224,0,0
0.002094431,-0.005290647,0,0
0.013951487,-0.037760097,0,0
0.004743293,0.005599499,0,0
0.000642817,0.00016856,0,0
0.021987245,0.012622831,0,0
0.007733248,-0.007596219,0,0
-0.027939865,-0.002506034,0,0
-0.004573067,-0.001342488,0,0
0.001219425,-0.011236784,0,0
-0.00707712,0.006505124,0,0
0.005426491,-0.001361426,0,0
0.160971114,-0.227510184,0.083365963,0.091682241
-0.003938867,0.009676686,0,0
0.002994802,-0.007666725,0,0
0.000298347,-0.006348604,0,0
0.002231097,-0.002331788,0,0
-0.003425719,0.023880843,0,0
0.000597722,-0.013199749,0,0
0.008429339,0.012091854,0,0
-0.001173241,0.029223054,0,0
0.001368474,-0.002079212,0,0
-0.008077381,-0.035544384,0,0
0.004057469,0.013089699,0,0
-0.001480046,-0.010271425,0,0
-0.002577423,-0.019535056,0,0
-0.002993082,-0.001766624,0,0
0.001199709,-0.008340617,0,0
0.005703064,0.009519164,0,0
-0.010269609,0.029020641,0,0
-0.004360219,0.006284333,0,0
0.003198396,-0.00793879,0,0
-0.000404842,-0.001383545,0,0
0.000202468,-0.004737298,0,0
0.002724123,0.002514417,0,0
0.013662544,0.027523517,0,0
0.001605167,-0.00420373,0,0
-0.004244669,0.006550569,0,0
0.002542028,-0.002085452,0,0
-0.00303259,-0.000522931,0,0
-0.006577723,-0.003678257,0,0
-0.003653129,-0.014486767,0,0
0.0139453,0.002176919,0,0
-0.000681858,0.007534418,0,0
-0.002591059,0.007930126,0,0
0.006231437,-0.002363871,0,0
-0.001307023,-0.010664612,0,0
0.001548634,0.020301526,0,0
-0.013342827,-0.040183703,0,0
0.000448111,0.002254616,0,0
0.000149268,0.001122934,0,0
0.00583087,0.014068565,0,0
-0.000589407,0.007801102,0,0
0.00044213,-0.019074969,0,0
-4.91E-05,0.002499943,0,0
-0.000491339,0.04219768,0,0
0.000393116,0.009446961,0,0
-0.003451888,-0.005942549,0,0
0.00246843,-0.007290788,0,0
-0.000492565,-0.000507353,0,0
0.009939415,0.024188557,0,0
-0.001399161,0.000719626,0,0
0.000965421,0.004292896,0,0
0.005700302,0.001658067,0,0
0.001615009,0.003531826,0,0
-0.00104432,-0.011645256,0,0
0.000475002,-0.007042111,0,0
-0.003001224,0.014919061,0,0
-0.005435667,-0.001421587,0,0
0.001546221,0.002366733,0,0
-0.003097968,0.004695121,0,0
0.003194424,-0.007774397,0,0
0.00173256,-0.00694886,0,0
-0.002988166,0.000241476,0,0
0,-0.021020346,0,0
-0.003008869,0.005789001,0,0
-0.002588728,-0.004271372,0,0
0.001564851,0.004771135,0,0
-0.002005983,0.008654033,0,0
0.001566438,-0.004924026,0,0
0.002193288,-0.00198535,0,0
0.002375717,0.00074557,0,0
0.001833487,-0.000248381,0,0
-0.001446846,0.000248381,0,0
0.003608117,0.00420089,0,0
0.001387141,0.002452262,0,0
-0.000669101,-0.008145574,0,0
0.003714791,0.000498044,0,0
-0.003762623,-0.012369583,0,0
-0.002061794,0.0017888,0,0
0.002013956,0.001781462,0,0
0.000955754,-0.003058424,0,0
-0.001099299,0.00255018,0,0
0.003052044,0,0,0
0,-0.001783553,0,0
-0.003195636,-0.005653617,0,0
-0.003605321,0.000517017,0,0
-0.00256593,0.006411313,0,0
0.002131273,-0.004606585,0,0
-0.00058022,0.025237898,0,0
0.008433168,-0.0291144,0,0
-0.008239675,-0.007858378,0,0
-0.002424878,0.010446553,0,0
0.005316972,-0.007811262,0,0
0.001821748,0.003402143,0,0
-0.003506461,-0.005509095,0,0
0.003793408,-0.01204592,0,0
-0.002445115,-0.002996085,0,0
-0.003039567,0.014777916,0,0
-0.000678358,-0.001853134,0,0
-0.004435345,-0.009657347,0,0
4.90E-05,-0.004088149,0,0
0.000538493,-0.002196184,0,0
0.034457168,0.049620834,0,0
-0.004542871,0.003910388,0,0
0.005355565,-0.000730521,0,0
0.001890392,-0.010608118,0,0
0.000359144,-0.002002514,0,0
0,-0.014282257,0,0
-0.003152623,-0.003122562,0,0
0.001353928,-0.001045863,0,0
-0.00045084,0.015934484,0,0
-0.000993499,-0.006611168,0,0
-0.004453409,0.00962886,0,0
0.001550239,0.000500916,0,0
0.000500366,-0.00251038,0,0
-0.000409347,-0.00176594,0,0
-0.000911044,-0.004318846,0,0
4.56E-05,0.002037749,0,0
-0.0059682,-0.001272472,0,0
-0.023750832,-0.016890637,0,0
-0.002497219,-0.000265056,0,0
-0.003649141,-0.008838861,0,0
-0.007290846,-0.00244215,0,0
0.00165867,0.005408469,0,0
-0.000100345,-0.00026883,0,0
0.004045553,0.004281434,0,0
-0.002192908,-0.006167917,0,0
-0.001852645,-0.012883141,0,0
0.001352709,-0.009848369,0,0
-0.001001602,-0.006595553,0,0
-0.000250762,0.006595553,0,0
-0.000853675,0.017022393,0,0
-0.00627809,-0.005230868,0,0
0.001425587,0.000830127,0,0
0.000761787,0.001380028,0,0
0.005345541,-0.006664496,0,0
-0.003017692,0.002511186,0,0
0.002415829,-0.003351485,0,0
-0.003679416,-0.000561104,0,0
0.001566301,0.002798299,0,0
0.002062922,0.00444011,0,0
-0.001609245,0.000827491,0,0
0.001609245,-0.001656561,0,0
0.000401381,-0.000553594,0,0
0.001201923,-0.010370868,0,0
-0.0010515,0.000850169,0,0
0,-0.003410707,0,0
-0.005448301,0.001424385,0,0
0,-0.002567265,0,0
0.002682244,-0.00287043,0,0
-0.00166813,-0.008433168,0,0
-0.000303986,-0.016458185,0,0
-0.001218076,-0.002446736,0,0
0.0010153,0.009705309,0,0
0.001164668,-0.009092331,0,0
-0.010233614,0.009392155,0,0
0.001085931,0.00209299,0,0
0.001083222,0.024359346,0,0
-0.002739059,-0.014334452,0,0
-0.003853478,-0.009726717,0,0
-0.006481734,0.004743195,0,0
0.001060549,0.009045089,0,0
-0.01001871,-0.014086461,0,0
-0.003154959,0.00267625,0,0
0.002829645,-0.014161394,0,0
-0.005513019,0.000612114,0,0
0.001973073,-0.001838935,0,0
-0.001863222,-0.000922396,0,0
0.003391661,-0.005887778,0,0
-0.001966125,-0.017507828,0,0
-0.000767015,-0.01018823,0,0
0.00273314,0.000332411,0,0
-0.003336746,-0.015905042,0,0
0.009020955,0.002063161,0,0
0.000161318,0.009500571,0,0
0.003053708,0.021604632,0,0
0.000533531,-0.001599613,0,0
-0.000907394,0.017587719,0,0
0.000320473,0.003067064,0,0
