date,open,high,low,close
2000-01-03,288.5,289.5,288.13,289
2000-01-04,288.38,288.38,279.8,282.25
2000-01-05,282.15,283.5,279.75,280
2000-01-06,280.5,282.05,279.15,281.1
2000-01-07,281.45,283.3,280.95,281.75
2000-01-10,281.63,282.5,280.75,281.48
2000-01-11,281.3,284.1,280.6,283.25
2000-01-12,283.15,283.45,281.25,282.35
2000-01-13,282.6,284.9,281.45,284.25
2000-01-14,284.5,285.17,283.05,284.2
2000-01-17,284.05,286.5,284.05,285.5
2000-01-18,285.5,288.9,285.05,288.65
2000-01-19,288.5,290.25,286.8,289.63
2000-01-20,289.45,289.55,287.4,288.5
2000-01-21,288.45,289.8,287,289.1
2000-01-24,289,289,286.35,287.6
2000-01-25,287.45,290.88,285.8,287.05
2000-01-26,287.75,287.75,284.4,286
2000-01-27,286.05,287.25,285.3,286.85
2000-01-28,286.95,288,280.7,283.25
2000-01-31,284.25,284.65,281.85,283.5
2000-02-01,283.27,284.25,282.35,282.63
2000-02-02,282.75,286.55,281.75,284.75
2000-02-03,285.05,288.05,284.35,287.45
2000-02-04,287.5,315.3,287.25,310.3
2000-02-07,316.5,322,302.25,302.75
2000-02-08,301.5,305.75,295.95,301.75
2000-02-09,301.75,311.75,299.75,306.75
2000-02-10,308,317.2,306.75,315
2000-02-11,314.95,317.5,308.45,310.95
2000-02-14,310.05,311.2,305.75,308.15
2000-02-15,308,308.5,300.75,301.75
2000-02-16,301,303.2,296.75,302.5
2000-02-17,302.25,309.75,298.05,300.5
2000-02-18,300.85,305.3,299.25,305
2000-02-21,304.75,306.7,303.25,305.5
2000-02-22,305.25,307.2,301.5,304.4
2000-02-23,305.1,305.87,299.25,300
2000-02-24,300.4,301.25,297.92,298.5
2000-02-25,298.35,298.8,291.45,292.6
2000-02-28,292.75,294,290.75,291.75
2000-02-29,291.75,294.6,291.75,292.2
2000-03-01,292.2,294.2,289.5,289.75
2000-03-02,288.75,292.25,287.6,288.5
2000-03-03,288.13,294.75,287.57,288.8
2000-03-06,288.5,290.13,287.63,287.63
2000-03-07,287.38,293.8,287,293.25
2000-03-08,293.6,294.2,287.88,288.13
2000-03-09,288.98,291.6,288.23,291.2
2000-03-10,291.2,293.25,288.3,289
2000-03-13,289,292.1,289,290.7
2000-03-14,290.5,292,288.4,288.88
2000-03-15,289.25,290.25,288.2,288.85
2000-03-16,289.38,289.95,285.4,286.5
2000-03-17,286,286.67,282.9,284.6
2000-03-20,283.8,287.38,283.55,286.88
2000-03-21,286.25,291.4,283.98,289.63
2000-03-22,289.35,290.8,287.6,287.88
2000-03-23,287.25,288.98,283.1,286.27
2000-03-24,285.63,286.45,284.37,285
2000-03-27,285.13,285.17,280.3,280.3
2000-03-28,280.2,281.77,278.38,279.4
2000-03-29,279.35,280.48,274.88,276.4
2000-03-30,275.27,278.25,275.2,276.75
2000-03-31,276.65,280.3,275.1,279.08
2000-04-03,278.75,279.85,277.17,278.2
2000-04-04,278.38,288.15,275.95,284.45
2000-04-05,284.75,285.2,280.9,281.5
2000-04-06,281.48,282.65,279.02,280.5
2000-04-07,280.13,281.27,279.48,280
2000-04-10,280.6,282.7,279.8,282
2000-04-11,281.9,284.2,280.95,281.8
2000-04-12,281.5,283.6,279.3,282.05
2000-04-13,282.2,282.75,279.9,281.6
2000-04-14,281.55,286.5,280.35,282.6
2000-04-17,284.75,285.05,280.75,281.38
2000-04-18,281.5,282.65,280.05,281.3
2000-04-19,281.15,282,280.1,280.7
2000-04-20,280.7,281.3,279.15,280
2000-04-21,279.8,280,279.42,280
2000-04-24,280,281.2,279.3,279.8
2000-04-25,279.8,280.65,277.8,278.4
2000-04-26,278.2,278.55,274.95,275.88
2000-04-27,275.9,277.6,275.3,277.05
2000-04-28,277.1,277.25,272.75,273.55
2000-05-01,275.25,275.25,272.2,273.35
2000-05-02,273.8,276.4,273.25,274.95
2000-05-03,275.75,278.38,275.4,278.25
2000-05-04,278.25,282.6,276.5,279.95
2000-05-05,280.45,282.6,277.4,278.95
2000-05-08,278.95,278.95,276.2,276.73
2000-05-09,276.55,277.75,275.5,277.25
2000-05-10,277.25,279.05,276.4,277.75
2000-05-11,277.65,278.25,275.45,275.95
2000-05-12,276,277.3,275.7,276.15
2000-05-15,276.5,277,273.9,275.45
2000-05-16,275.5,277.4,274.98,275.65
2000-05-17,275.5,275.6,272,273.35
2000-05-18,273.63,274.25,272.25,273.35
2000-05-19,273.4,274.7,272.45,274.25
2000-05-22,274.1,276.9,273.6,275.65
2000-05-23,275.8,277,273.65,274.25
2000-05-24,273.9,274.45,272.65,273.55
2000-05-25,273.5,274.7,269.45,270.3
2000-05-26,270.3,273.2,270.05,272.25
2000-05-29,272.7,273.8,272.15,272.15
2000-05-30,272.1,274.8,272.1,273.2
2000-05-31,273.1,273.3,271.8,272.1
2000-06-01,272.2,273.95,271.9,272.8
2000-06-02,272.9,282.95,272.55,281.15
2000-06-05,281.05,286.25,279.05,285.45
2000-06-06,285.45,291.15,283.8,289
2000-06-07,289.5,289.5,284.3,286.7
2000-06-08,287.4,288.2,283.75,284.45
2000-06-09,284.45,286.8,283.5,283.85
2000-06-12,283.9,286.9,283.25,286.8
2000-06-13,286.5,294.05,284.65,285.75
2000-06-14,285.8,292,285.35,291.75
2000-06-15,291.75,293.25,286.55,289.85
2000-06-16,289.55,292,288.45,289.25
2000-06-19,289.15,289.15,285.45,286.25
2000-06-20,286.15,287.6,285.4,286.15
2000-06-21,286.25,287.58,285.85,286.15
2000-06-22,286.15,289.45,284.98,285.65
2000-06-23,285.6,286.7,282.5,283.15
2000-06-26,283.15,284.7,282.05,284
2000-06-27,283.95,286.15,283.1,286.05
2000-06-28,286.15,293.1,285.45,292.65
2000-06-29,292.75,292.75,288.2,289.25
2000-06-30,289.4,290.3,287.8,289.52
2000-07-03,288.95,289.83,287.85,288.35
2000-07-04,287.85,288.3,286.3,288.05
2000-07-05,286.75,287.95,284,284.25
2000-07-06,284.15,285.85,282.35,283.65
2000-07-07,283.2,284.75,281.95,283.65
2000-07-10,283.75,285.4,283.5,283.95
2000-07-11,284.05,284.3,282,282.55
2000-07-12,282.6,283.5,279.5,280.6
2000-07-13,280.65,281.85,279.9,280.25
2000-07-14,280.5,281.45,279.9,281.3
2000-07-17,280.45,284.15,280.45,283.6
2000-07-18,283.55,284.1,282.1,282.65
2000-07-19,283.13,283.13,277.83,279.15
2000-07-20,279.15,281.2,277.8,280.25
2000-07-21,280.25,281.5,279,280.35
2000-07-24,280.25,280.85,279.05,279.25
2000-07-25,279.25,281.65,278.1,279.05
2000-07-26,279.05,280.55,278.7,279.75
2000-07-27,279.75,281.23,277.95,278.5
2000-07-28,278.45,279.53,277.8,278.38
2000-07-31,278.4,278.55,276.5,277.25
2000-08-01,277.5,278.6,276.5,277.35
2000-08-02,277.5,279.1,276.45,277.55
2000-08-03,277.35,278.27,272.85,273.95
2000-08-04,274.1,275.4,272.45,273.5
2000-08-07,272.85,274.2,272.25,273.75
2000-08-08,273.6,274.85,272,273.25
2000-08-09,273.2,273.65,271.3,272.25
2000-08-10,272.3,273.5,271.3,272.75
2000-08-11,272.75,275.55,272.6,275.15
2000-08-14,274.75,276.65,274.15,274.8
2000-08-15,274.75,275.25,274.15,274.65
2000-08-16,274.65,277.6,274.65,277.2
2000-08-17,277.5,278.9,276.75,277.65
2000-08-18,277.65,277.75,275.5,276.65
2000-08-21,276.7,277.3,274.5,275.25
2000-08-22,275.15,275.8,273.15,273.75
2000-08-23,273.75,274.1,270.85,271.25
2000-08-24,271.25,273.25,270.5,272.95
2000-08-25,272.95,274.85,272.5,274.25
2000-08-28,274,274.6,273.3,274.15
2000-08-29,274.05,275.17,272.6,273.45
2000-08-30,273.2,274.25,272.53,274.2
2000-08-31,274.15,278.75,273.25,277.85
2000-09-01,277.75,278.83,276.45,276.75
2000-09-04,277.2,278.15,276.7,277
2000-09-05,277.05,277.35,274.85,275.55
2000-09-06,275.6,276.5,273.45,274.45
2000-09-07,274.05,274.6,272.5,273.8
2000-09-08,273.55,274.8,271.5,273.05
2000-09-11,272.95,274.25,272.1,273.42
2000-09-12,273.25,275.7,272.5,273
2000-09-13,273.1,274.15,272.07,272.75
2000-09-14,272.85,274.35,271.95,272.55
2000-09-15,272.55,273.75,270.95,272.45
2000-09-18,272.05,274.52,271.45,271.8
2000-09-19,271.75,273.05,270.85,272.15
2000-09-20,271.8,273.15,269.2,269.35
2000-09-21,269.35,271.25,268.7,270.65
2000-09-22,270.9,276.02,270.45,272.15
2000-09-25,272.15,274.45,272.05,274.3
2000-09-26,274.35,275.65,273.85,274.35
2000-09-27,274.35,279.52,274,278.58
2000-09-28,278.55,278.8,275.25,275.25
2000-09-29,276.05,276.17,272.7,274.25
2000-10-02,274.4,274.75,272.83,273.45
2000-10-03,273.45,273.7,271.75,272.25
2000-10-04,272.15,272.5,270.05,270.75
2000-10-05,270.85,272.15,269.25,269.65
2000-10-06,269.55,271.5,269.28,269.65
2000-10-09,269.9,271.2,269.6,270.6
2000-10-10,270.65,273.35,268.75,272.75
2000-10-11,272.75,275.1,270.55,271.15
2000-10-12,271.1,277.05,270.35,276.55
2000-10-13,276.65,277.65,271.65,272.65
2000-10-16,272.65,273.05,270.85,272
2000-10-17,272.05,272.25,269.45,271.25
2000-10-18,271.2,273.95,269.9,270.65
2000-10-19,270.65,271.85,270.15,270.8
2000-10-20,270.85,271.75,270.2,271.55
2000-10-23,271.15,272.85,270.1,270.25
2000-10-24,270.25,271.65,269.8,270.65
2000-10-25,270.25,270.52,266.15,266.75
2000-10-26,266.75,267.48,264.47,265.15
2000-10-27,265.15,266.95,262.27,264.55
